Canticum (Sap 9, 1-6. 9.11) AT10;Cant. (Sap 9, 1-6. 9.11) AT10
Domine, da mihi sapientiam;Seigneur, donne-moi la sagesse.
Dabo vobis os et sapientiam, cui non poterunt resistere... adversarii vestri (Lc 21, 15).;Je vous donnerai bouche et science, auxquelles tous vos adversaires ne pourront ni résister ni contredire. (Lc 21, 15).
;
Deus patrum meórum et Dómine misericórdiæ, * qui fecísti ómnia verbo tuo;Dieu de mes pères et Seigneur de miséricorde, qui as tout fait par ta parole,
et sapiéntia tua constituísti hóminem, * ut dominarétur creatúris, quæ a te factæ sunt,;et qui par ta sagesse as établi l'homme, pour qu'il dominât sur les créatures que tu as faites,
et dispóneret orbem terrárum in sanctitáte et iustítia * et in directióne cordis iudícium iudicáret,;pour qu'il gouvernât le monde dans l'équité et la justice, et qu'il formulât ses jugements avec un coeur droit:
da mihi sédium tuárum assistrícem sapiéntiam * et noli me reprobáre a púeris tuis,;donne-moi cette sagesse qui est assise avec toi sur ton trône, et ne me rejette pas du nombre de tes enfants,
quóniam servus tuus sum ego et fílius ancíllæ tuæ, homo infírmus et exígui témporis * et minor ad intelléctum iudícii et legum.;car je suis ton serviteur, et le fils de ta servante, un homme faible, à la vie rapide, et peu capable de comprendre la justice et les lois.
Nam, et si quis erit consummátus inter fílios hóminum, si ab illo abfúerit sapiéntia tua, * in níhilum computábitur.;Car, quelqu'un semblât-il parfait parmi les fils des hommes, si ta sagesse n'est pas avec lui, il sera considéré comme rien.
Et tecum sapiéntia, quæ novit ópera tua, * quæ et áffuit tunc, cum orbem terrárum fáceres,;"et tu as avec toi ta sagesse, qui connaît tes oeuvres, et qui était présente lorsque tu formais l'univers; "
et sciébat quid esset plácitum in óculis tuis * et quid diréctum in præcéptis tuis.;elle savait ce qui est agréable à tes yeux, et quelle est la rectitude de tes préceptes.
Emítte illam de cælis sanctis tuis * et a sede magnitúdinis tuæ mitte illam,;Envoie-la du ciel, ton sanctuaire, et du trône de ta grandeur, 
ut mecum sit et mecum labóret, * ut sciam quid accéptum sit apud te.;"afin qu'elle soit avec moi et qu'elle travaille avec moi, et que je sache ce qui t’est est agréable;"
Scit enim illa ómnia et intéllegit et dedúcet me in opéribus meis sóbrie * et custódiet me in sua glória.;car elle a la science et l'intelligence de toutes choses, et elle me conduira dans mes oeuvres avec circonspection, et me protégera par sa puissance.
