Canticum (Is 26, 1-4. 7-9. 12) AT20;Cantique (Is 26, 1-4. 7-9. 12) AT20
Hymnus post victoriam de hostibus;Hymne après la victoire sur les ennemis
Civitas sancta Ierusalem habebat murum magnum et altum, habentem portas duodecim (Cf. Apc 21, 12).;Jérusalem, la cité sainte, était entourée d’une grande et haute muraille, percée de douze portes (Cf. Apc 21, 12).

"Urbs fortis nobis in salútem; * pósuit muros et antemurále.";Nous avons une ville forte! Il fait de son salut le mur et l'avant-mur, 
Aperíte portas, et ingrediátur gens iusta, * quæ servat fidem.;Ouvrez les portes, laissez entrer la nation juste, qui garde la vérité. 
"Propósitum eius est firmum; * servábis pacem, quia in te sperávit.";Au coeur constant tu assures la paix, la paix, parce qu'il se confie en toi. 
Speráte in Dóminum in sæculis ætérnis, * Dóminus est petra ætérna.;"Confiez-vous dans le Seigneur à jamais; car le Seigneur est le rocher des siècles. "
"Sémita iusti recta est; * rectum callem iusti complánas.";"Le sentier du juste est uni; elle est droite la voie que tu aplanissez au juste. "
"Et in sémita iudiciórum tuórum, Dómine, sperávimus in te; * ad nomen tuum et ad memoriále tuum desidérium ánimæ.";"Oui, sur le sentier de tess jugements, nous t’attendions, ô Seigneur; ton nom et ton souvenir étaient le désir de nos actes. "
Anima mea desíderat te in nocte, * sed et spíritu meo in præcórdiis meis te quæro.;"Mon âme t’a désiré pendant la nuit, et au dedans de moi mon esprit te cherchait ; "
Cum resplendúerint iudícia tua in terra, * iustítiam discent habitatóres orbis.;car, lorsque tes jugements s'exercent sur la terre, les habitants du monde apprennent la justice. 
"Dómine, dabis pacem nobis; * ómnia enim ópera nostra operátus es nobis.";Seigneur, tu nous assures la paix, car toute notre oeuvre, c'est toi qui l'as faite pour nous. 
