</b>Symbolum seu professio fidei<b>;</b>Symbole ou profession de Foi<b>
V/. Credo in unum Deum,;V/. Je crois en Dieu Un
R/. Patrem omnipoténtem, factórem caeli et terrae, visibílium ómnium et invisibílium.;R/. le Père tout puissant, créateur du ciel et de la terre, de tout ce qui est visible et invisible.
Et in unum Dóminum Iesum Christum, Fílium Dei Unigénitum,;Et en un Seigneur Un Jésus Christ, Fils de Dieu unique engendré,
et ex Patre natum ante ómnia saecula.;et qui est né du Père avant tous les siècles.
Deum de Deo, lumen de lúmine, Deum verum de Deo vero,;Dieu issu de Dieu, lumière issue de la lumière, vrai Dieu issu du vrai Dieu,
génitum, non factum, consubstantiálem Patri: per quem ómnia facta sunt.;engendré, non pas créé, consubtantiel au Père, et par qui toutes choses sont faites.
Qui propter nos hómines et propter nostram salútem descéndit de caelis.;Qui à cause de nous les hommes, et à cause de notre salut descendit du ciel.
<font color=red size=-1>Ad verba quae sequuntur, usque ad factus est, omnes se inclinant.</font>;"<font color=red size=-1>Aux paroles qui suivent, jusqu'à ""fait homme"", tous s'inclinent.</font>"
Et incarnátus est de Spíritu Sancto ex María Vírgine, et homo factus est.;Et s'est incarné de l'Esprit Saint par la Vierge Marie : et s'est fait Homme.
<font color=red size=-1>Deinde prosequuntur:</font>;<font color=red size=-1>Ensuite, on continue : </font>
"Crucifíxus étiam pro nobis sub Póntio Piláto; passus et sepúltus est,";"En plus crucifié pour nous sous Ponce Pilate ; il est trépassé et enterré."
et resurréxit tértia die, secúndum Scriptúras,;et il est ressucité le troisième jour, selon les Ecritures.
et ascéndit in caelum, sedet ad déxteram Patris.;et il est monté au ciel, il est assis à la droite du Père.
Et íterum ventúrus est cum glória, iudicáre vivos et mórtuos, cuius regni non erit finis.;Et il reviendra dans la gloire, pour juger les viants et les morts, et son règne ne sera pas fini.
Et in Spíritum Sanctum, Dóminum et vivificántem: qui ex Patre Filióque procédit.;Et en l'Esprit Saint, Seigneur et vivifiant, qui procède du Père et du Fils.
Qui cum Patre et Fílio simul adorátur et conglorificátur: qui locútus est per prophétas.;Qui avec le Père et le Fils en même temps est adoré et glorifié, il a parlé par les Prophètes.
Et unam, sanctam, cathólicam et apostólicam Ecclésiam.;Et l'Une, Sainte, Catholique et Apostilique Eglise.
Confíteor unum baptísma in remissiónem peccatórum.;Je confesse le Baptême unique en rémission des péchés.
Et exspécto resurrectiónem mortuórum,;Et j'attendsla résurection des morts,
et vitam ventúri saeculi. Amen.;et la vie des siècles venant. Amen.
