Hymnus;Hymne

Bárnabæ clarum cólimus tropæum, ;Nous célébrons le beau triomphe de Barnabé: 
quo micat celsus mérita coróna, ;il brille au ciel d'une couronne bien méritée,
multa pro Christi veheménter usque ; lui qui a beaucoup souffert 
passus amóre.;pour l'honneur du Christ.

Abdicans agro, generósus urget ;Abandonnant son champ, il travaille avec courage 
ut, fide vivax ope caritátis, ;pour que la moisson du peuple nouveau,
nóminis plebes nova christiáni ; qui porte le nom de chrétien, s'épanouisse dans une foi vivifiée
læta viréscat.; par la charité.

Quam libens noscit, petit atque defert ;Avec quelle joie il a fait connaissance du grand Paul,
máximum Paulum, sócio labóre ; va le chercher et le ramène! Associé 
Spíritus nutu péragrans fidélis ;à sa tâche sur l'ordre de l'Esprit, il parcourt avec foi 
lítora multa!;de nombreux rivages.

Nil sibi parcit cupidúsque Christo ;Il n'épargne pas sa peine: nombreux sont ceux
plúrimos affert, bonus atque pascit, ; que son ardeur amène au Christ
donec effúso rútila probátur ; et qu'il conduit en bon pasteur, jusqu'au jour où son sang répandu lui mérite 
sánguine palma.;une palme empourprée.

Da, Deus, tanto fámulo rogánte, ;Donne-nous, ô Dieu, à la prière de ce grand serviteur,
nos sequi fortes iter ad salútem, ; de suivre avec vaillance la voie du salut, 
ut domo ætérna tibi concinámus ;afin que, dans la demeure éternelle, 
cántica laudis. Amen.;nous te chantions nos louanges.
