Hymnus;Hymne
Deus, qui cæli lumen es;Dieu, lumière de l’univers,
satórque lucis, qui polum;Et toi, semeur de la clarté
patérno fultum brácchio;Dont la main dévoile le ciel
præclára pandis déxtera,;Que soutient le bras de ton Père,

Auróra stellas iam tegit;L’aurore efface les étoiles,
rubrum sustóllens gúrgitem,;"Elle soulève un flot vermeil ;"
uméctis atque flátibus;Et l’humidité de son souffle
terram baptízans róribus.;Baptise de rosée la terre.

Iam noctis umbra línquitur,;L’ombre des nuits déjà s’efface,
polum calígo déserit,;"La ténèbre quitte le ciel ;"
typúsque Christi, lúcifer;Tel le Christ, l’astre du matin
diem sopítum súscitat.;Eveille le jour endormi.

Dies diérum tu, Deus,;O Dieu, tu es le jour des jours,
lucísque lumen ipse es,;Tu es splendeur de la lumière,
Unum potens per ómnia,;Le seul, puissant en toutes choses,
potens in unum Trínitas.;Puissante, unique Trinité.

Te nunc, Salvátor, quæsumus;"C’est toi, Seigneur que nous prions ;"
tibíque genu fléctimus,;"Pour toi, nous plions le genou ;"
Patrem cum Sancto Spíritu;De toutes nos voix, nous louons
te notis laudántes vócibus. Amen.;Le Père avec le Saint-Esprit.
