Hymnus;Hymne

Exsúltet cælum láudibus, ;Que la louange exsulte au ciel,
resúltet terra gáudiis: ;que la joie se répande sur terre :
Apostolórum glóriam ;car c'est la joie des Apôtres
sacra canunt sollémnia.;que nous célébrons aujourd'hui.

Vos, sæcli iusti iúdices ;Vous, les justes juges des hommes,
et vera mundi lúmina, ;et les vraies lumières du monde,
votis precámur córdium, ;voici les vœux de notre cœur:
audíte preces súpplicum.;écoutez nos voix suppliantes.

Qui cælum verbo cláuditis ;Vous qui pouvez fermer le ciel,
serásque eius sólvitis, ;et délier pour nous ses portes
nos a peccátis ómnibus ;nous vous prions : dites le mot
sólvite iussu, quæsumus.;qui nous délie de tout péché.

Quorum præcépto súbditur ;Puisque santé et maladie 
salus et languor ómnium, ;obéissent à vos paroles,
sanáte ægros móribus, ;guérissez notre cœur malade,
nos reddéntes virtútibus,;à notre âme rendez vigueur.

Ut, cum iudex advénerit ;Ainsi, quand reviendra le Christ,
Christus in fine sæculi, ;pour juger, à la fin des temps,
nos sempitérni gáudii ;il nous fera participer
fáciat esse cómpotes.;au bonheur qui n'a pas de fin.

Deo sint laudes glóriæ, ;Gloire et louange soient à Dieu,
qui dat nos evangélicis ;qui nous donne par vous la grâce
per vos doctrínis ínstrui ;d'être formés à l'Evangile
et prósequi cæléstia. Amen.;et de chercher les biens du ciel.
