Hymnus;Hymne
Iam Christus astra ascénderat, ;Déjà, le Christ était monté au ciel,
regréssus unde vénerat, ;retourné d'où il était venu,
promíssa Patris múnera, ;pour nous envoyer le don promis
Sanctum datúrus Spíritum,;par le Père, le Saint Esprit

Cum hora felix tértia ;Soudain retentit par le monde
repénte mundo íntonat, ;l'heureuse troisième heure,
Apóstolis orántibus ;"tandis que les apôtres priaient;"
Deum venísse núntians.;elle annonce la venue de Dieu

De Patris ergo lúmine ;Car c'est de la lumière du Père
decórus ignis almus est, ;qu'est issu ce beau feu divin
qui fida Christi péctora ;pour remplir les cœurs croyant au Christ
calóre verbi cómpleat.;de l'ardeur de sa parole.

Descénde, Sancte Spíritus, ;Descends, Esprit-Saint,
ac nostra corda altária ;fais pour toi de nos âmes
orna tibi virtútibus, ;des autels ornés des vertus,
tibíque templa dédica.;et des temples qui te soient consacrés.

Per te sciámus da Patrem ;Fais nous connaître Dieu le Père,
noscámus atque Fílium, ;fais-nous apprendre aussi le Fils,
te utriúsque Spíritum ;et croire en tout temps que tu es 
credámus omni témpore. Amen.;l'unique Esprit de l'un et de l'autre.
