Hymnus;Hymne

Iesu, auctor cleméntiæ, ;Jésus, auteur de la clémence, 
totíus spes lætítiæ, ;espérance de toute joie,
dulcóris fons et grátiæ, ; source de douceur et de grâce, 
veræ cordis delíciæ:;"vraies délices du coeur ;"

Iesu, spes pæniténtibus, ;Jésus, espoir des repentants, 
quam pius es peténtibus, ;tu es si doux pour qui t'implore, 
"quam bonus te quæréntibus; ";tu es si bon pour qui te cherche, 
sed quid inveniéntibus?;qu'en sera-t-il pour qui te trouve ?

Tua, Iesu, diléctio, ;Ton amour, Jésus, 
grata mentis reféctio, ;est l'aimable nourriture de l'âme,
replet sine fastídio, ; il rassasie sans dégoût, 
dans famem desidério.;car il affame le désir.

O Iesu dilectíssime, ;O très aimé Jésus, 
spes suspirántis ánimæ, ;espoir de l'âme qui aspire à toi, 
te quærunt piæ lácrimæ, ;nos saintes larmes te réclament,
te clamor mentis íntimæ.; le cri du fond de l'âme.

Mane nobíscum, Dómine, ;Reste avec nous, Seigneur, 
Mane novum cum lúmine, ;Matin nouveau plein de lumière,
pulsa noctis calígine ; et chasse l'ombre de la nuit 
mundum replens dulcédine.;pour remplir le monde de ta douceur.

Iesu, summa benígnitas, ;Jésus, suprême bienveillance, 
mira cordis iucúnditas, ;joie admirable du coeur, 
incomprehénsa bónitas, ;bonté sans limites, 
tua nos stringit cáritas.;ta charité nous presse.

Iesu, flos Matris vírginis, ;Jésus, fleur d'une vierge mère,
amor nostræ dulcédinis, ; amour pour nous plein de douceur, 
laus tibi sine términis, ;à toi les louanges sans fin
regnum beatitúdinis. Amen.; et la royauté bienheureuse.
