Hymnus;Hymne
Imménse cæli cónditor,;Créateur infini du ciel,
qui, mixta ne confúnderent,;pour que les eaux ne se mélangent pas,
aquæ fluénta dívidens,;tu les as divisées entre elles
cælum dedísti límitem,;et leur as établi le ciel pour limite.
;
Firmans locum cæléstibus;tu as fixé leur place aux eaux du ciel,
simúlque terræ rívulis,;comme aux rivières de la terre,
ut unda flammas témperet,;afin que l'eau modère les flammes
terræ solum ne díssipet:;et ne dissolve pas la terre ferme.
;
Infúnde nunc, piíssime,;Répands maintenant en nous, Dieu très bon,
donum perénnis grátiæ,;le don de la grâce éternelle,
fraudis novæ ne cásibus;de peur que sous les coups d'une nouvelle ruse,
nos error átterat vetus.;l'antique erreur ne nous abatte.
;
Lucem fides invéniat,;Que la foi trouve la lumière,
"sic lúminis iubar ferat;";"qu'elle brille du même éclat ;"
hæc vana cuncta térreat,;qu'elle écrase tout ce qui est vain,
hanc falsa nulla cómprimant.;que rien de faux ne la retienne.
;
Præsta, Pater piíssime,;Exauce-nous Père très bon,
Patríque compar Unice,;et toi aussi, Unique égal au Père,
cum Spíritu Paráclito;avec l'Esprit consolateur,
regnans per omne sæculum. Amen.;qui règne pour tous les siècles. Amen.
