Hymnus;Hymne
Lucis creátor óptime,;Merveilleux créateur de la lumière,
lucem diérum próferens,;"tu nous donnes la lumière du jour ;"
primórdiis lucis novæ;par les premiers rayons d'une lumière toute neuve,
"mundi parans oríginem;";"tu préparas l'origine du monde ;"

Qui mane iunctum vésperi;Tu prescris d'appeler jour
diem vocári præcipis:;"ce qui unis le matin au soir;"
"tætrum chaos illábitur;";à l'heure du retour du chaos ténébreux,
audi preces cum flétibus.;écoute nos pières mêlées de larmes.

Ne mens graváta crímine;Que notre âme chargée de ses fautes
vitæ sit exsul múnere,;ne soit pas privée du don de la vie,
dum nil perénne cógitat;pour n'avoir pensé à rien d'éternel
seséque culpis ílligat.;et s'être elle même enchaînée au péché.

Cælórum pulset íntimum,;Qu'elle frappe au plus haut du ciel
"vitále tollat præmium;";et obtienne la vie en récompense.
vitémus omne nóxium,;Evitons tout ce qui est coupable,
purgémus omne péssimum.;purifions-nous de tout ce qui est mauvais.

Præsta, Pater piíssime,;Exauce-nous, Père très bon,
Patríque compar Unice,;et toi aussi, Unique égal au Père,
cum Spíritu Paráclito;avec l'Esprit consolateur,
regnans per omne sæculum. Amen.;qui règne pour tous les siècles. Amen.
