Hymnus;Hymne

O Roma felix, quæ tantórum príncipum;Heureuse Rome, emprourpée
es purpuráta pretióso sánguine!; du sang précieux de si grands princes !
Excéllis omnem mundi pulchritúdinem;Tu surpasses toute la beauté du monde,
non laude tua, sed sanctórum méritis,;non par ta propre gloire, mais par les mérites
quos cruentátis iugulásti gládiis.;des saints que ton glaive sanglant a immolés.

Vos ergo modo, gloriósi mártyres,;A présent, donc, glorieux martyrs,
Petre beáte, Paule, mundi lílium,;bienheureux Pierre, et Paul, lys de ce monde
cæléstis aulæ triumpháles mílites,;soldats triomphants de la cour céleste
précibus almis vestris nos ab ómnibus;par vos saintes prières, préservez-nous de tous les maux
muníte malis, ferte super æthera.;élevez-nous au plus haut des cieux.

Glória Patri per imménsa sæcula,;Gloire au Père à jamais dans l'infini des siècles !
sit tibi, Nate, decus et impérium,;A toi, Fils éternel, louange et tout pouvoir.
"honor, potéstas Sanctóque Spirítui;";A l'Esprit Paraclet l'honneur et la puissance,
sit Trinitáti salus indivídua;et à la Trinité, sa vie indivisible,
per infiníta sæculórum sæcula. Amen.;pour l'infini des siècles des siècles.
