Hymnus;Hymne

O gloriósa dómina ;O Dame glorieuse
excélsa super sídera, ;élevée au plus haut des cieux,
qui te creávit próvide, ;celui qui t'a créée avec sagesse
lactas sacráto úbere.;tu l'as nourri de ton sein sanctifié.

Quod Eva tristis ábstulit, ;Ce que la pauvre Eve nous enleva,
"tu reddis almo gérmine; ";tu nous le rends par ta sainte fécondité.
intrent ut astra flébiles, ;Pour tous ceux qui pleurent
sternis benígna sémitam.;tu es devenue l'ouverture sur le ciel.

Tu regis alti iánua ;Tu es la porte du grand Roi
"et porta lucis fúlgida; ";la radieuse entrée de la lumière !
vitam datam per Vírginem, ;Peuples rachetés, applaudissez
gentes redémptæ, pláudite.;à la vie donnée par la Vierge !

Patri sit et Paráclito ;Marie mère de grâce
tuóque Nato glória, ;mère de miséricorde
qui veste te mirábili ;protège-nous de l'ennemi
circumdedérunt grátiæ. Amen.;et reçois-nous à l'heure de notre mort. 
