Hymnus;Hymne
Plasmátor hóminis, Deus,;Dieu qui modelas l'homme
qui, cuncta solus órdinans,;et qui seul règles toutes choses,
humum iubes prodúcere;tu commandes à la terre de produire
"reptántis et feræ genus;";la race des reptiles et des fauves. 
;
Qui magna rerum córpora,;De la masse des éléments,
dictu iubéntis vívida,;ton ordre fait surgir des vivants,
ut sérviant per órdinem;et tu les soumets à l'homme
subdens dedísti hómini:;pour qu'ils servent à leur rang. 
;
Repélle a servis tuis;Eloigne de tes serviteurs
quicquid per immundítiam; toute impureté
aut móribus se súggerit,;qui s'insinue dans les désirs
aut áctibus se intérserit.;ou s'insère dans les actes. 
;
Da gaudiórum præmia,;Donne la joie en récompense,
"da gratiárum múnera;";"accorde les faveurs de ta grâce ;"
dissólve litis víncula,;dénoue les liens de la discorde,
astrínge pacis foedera.;resserre les alliances de paix. 
;
Præsta, Pater piíssime,;Exauce-nous, Père très bon,
Patríque compar Unice,;et toi aussi Unique égal au Père,
cum Spíritu Paráclito;avec l'Esprit consolateur,
regnans per omne sæculum. Amen.;qui règne qui pour tous les siècles. Amen.
