Hymnus;Hymne
Rector potens, verax Deus,;Maître puissant, Dieu Vérité,
qui témperas rerum vices,;tu règles la marche du temps,
splendóre mane ínstruis;tu formes l’aube en sa clarté,
et ígnibus merídiem.;au midi tu donnes ses flammes.
;
Exstíngue flammas lítium,;Eteins le feu des dissensions,
aufer calórem nóxium,;calme la fièvre du péché,
confer salútem córporum;apporte à nos cœurs la santé,
verámque pacem córdium.;à nos cœurs, la paix véritable.
;
Praesta, Pater piíssime,;Exauce-nous, Père très bon,
Patríque compar Unice,;et toi, le Fils égal au Père,
cum Spíritu Paráclito;avec l’Esprit consolateur,
regnans per omne saéculum. Amen.;régnant pour les siècles des siècles.
