Hymnus;Hymne
Rerum, Deus, fons ómnium,;O Dieu, source de toute choses,
qui, rebus actis ómnibus,;Par l'acte de ta création,
totíus orbis ámbitum;Tu as comblé tout l'univers
censu replésti múnerum,;"De la richesse de tes dons ;"
;
Ac, mole tanta cóndita,;Au terme d'un si grand ouvrage,
tandem quiétem díceris;Tu as voulu te reposer
sumpsísse, dans labóribus;Afin d'instaurer le repos
ut nos levémur grátius:;Parmi nos tâches d'ici bas
;
Concéde nunc mortálibus;Accorde maintenant aux hommes
deflére vitæ crímina,;De pleurer sur toutes leurs fautes,
instáre iam virtútibus;De s'attacher à la vertu
et munerári prósperis,;Et d'être heureux de tes bienfaits.
;
Ut cum treméndi iúdicis;Ainsi lors de l'ultime angoisse
horror suprémus coeperit,;Devant le juge redoutable,
lætémur omnes ínvicem;Nous goûterons la même joie,
pacis repléti múnere.;comblés par le don de ta paix.
;
Præsta, Pater piíssime,;Exauce-nous, Père très bon,
Patríque compar Unice,;Et toi, le Fils égal au Père,
cum Spíritu Paráclito;Avec l'Esprit Consolateur,
regnans per omne sæculum. Amen.;Régnant pour les siècles des siècles.
