Hymnus;Hymne

Salva, Redémptor, plasma tuum nóbile, ;O Rédempteur, sauve le noble ouvrage de tes mains
signátum sancto vultus tui lúmine, ;marqué par la sainte lumière de ta face.
ne lacerári sinas fraude dæmonum, ;ne laisse pas le démon ruiner par ta ruse
propter quod mortis exsolvísti prétium.;ce que tu as acheté au prix de ta mort

Dole captívos esse tuos sérvulos, ;Tu souffres de voir tes serviteurs asservis
absólve reos, compedítos érige, ;pardonne aux coupables, relève les captifs
et quos cruóre redemísti próprio, ;et ceux que tu as rachetés de ton sang
rex bone, tecum fac gaudére pérpetim. Amen.;Roi très bon, donne leur part sans fin à ta joie.
