Hymnus;Hymne
Te lucis ante términum, ;Avant que le jour ne s’éteigne,
rerum creátor, póscimus, ;nous te prions, Créateur de toute chose,
ut sólita cleméntia ;dans ta bonté de toujours,
sis præsul ad custódiam.;veille sur nous, garde-nous.

Te corda nostra sómnient, ;Que nos cœurs rêvent de toi,
te per sopórem séntiant, ;qu’ils songent à toi pendant le sommeil,
tuámque semper glóriam ;qu’ils chantent encore ta gloire
vicína luce cóncinant.;à l’approche de la lumière.

Vitam salúbrem tríbue, ;Accorde-nous une vie saine,
nostrum calórem réfice ;réchauffe-nous intérieurement,
tætram noctis calíginem ;que ta clarté illumine
tua collústret cláritas.;les tristes ténèbres de la nuit.

Præsta, Pater omnípotens, ;Exauce-nous, Père tout-puissant,
per Iesum Christum Dóminum, ;par Jésus-Christ le Seigneur,
qui tecum in perpétuum ;qui avec toi et le  Saint-Esprit
regnat cum Sancto Spíritu. Amen.;règne éternellement. Amen.
