Hymnus;Hymne
Veníte, servi, súpplices, ;Venez, serviteurs, suppliez,
et mente et ore extóllite ;célébrez du cœur et des lèvres
dignis beátum láudibus ;par vos louanges, vos cantiques,
nomen Dei cum cántico.;le nom béni de notre Dieu

Hoc namque tempus illud est, ;Car voici revenu le temps
quo sæculórum iúdicem ;où par une injuste sentence
iniústa morti trádidit ;les mortels livrent à la mort
mortálium senténtia.;celui qui doit juger les siècles.

Et nos amóre débito, ;Nous, qui lui devons notre amour,
timóre iusto súbditi, ;l'hommage d'une juste crainte,
advérsus omnes ímpetus ;pour tenir contre les assauts
quos sævus hostis íncutit,;de notre cruel ennemi.

Unum rogémus et Patrem ;Supplions l'Unique : le Père,
Deum regémque Fílium ;"le Fils, qui est Dieu et qui règne ;"
simúlque Sanctum Spíritum, ;"avec eux aussi, l'Eprit Saint ;"
in Trinitáte Dóminum. Amen.;en sa Trinité, le Seigneur.
