#JOUR;#JOUR
<center><font color=red><b>Ritus intiales</b></font></center>;<center><font color=red><b>Rites initiaux</b></font></center>
#ANT_INTROIT;#ANT_INTROIT
<center><font color=red>Signum crucis</font></center>;<center><font color=red>Signation</font></center>
In nómine Patris, et Fílii, et Spíritus Sancti. ;Au nom du Père et du Fils et Saint Esprit. 
R/. Amen.;R/. Amen.
<center><font color=red>Salutatio populi</font></center>;<center><font color=red>Salutation du peuple</font></center>
#ACCUEIL;#ACCUEIL
<center><font color=red>Actus paenitentialis</font></center>;<center><font color=red>Acte pénitentiel</font></center>
#PAENI;#PAENI
<font color=red size=-1>Deinde:</font>;<font color=red size=-1>Ensuite :</font>
Misereátur nostri omnípotens Deus et, dimissís peccátis nostris, perdúcat nos ad vitam aetérnam.;Aie pitié de nous Dieu tout puissant et, nos péchés ayant été renvoyés, conduis-nous à la vie éternelle.
R/. Amen.;R/. Amen.
V/. Kyrie, eléison. R/. Kyrie, eléison.;V/. Seigneur aies pitié. R/. Seigneur aies pitié.
V/. Christe, eléison. R/. Christe, eléison.;V/. O Christ aies pitié. R/. O Christ aies pitié.
V/. Kyrie, eléison. R/. Kyrie, eléison. ;V/. Seigneur aies pitié. R/. Seigneur aies pitié.
#HY_GLORIA;#HY_GLORIA
<center><font color=red>Collecta</font></center>;<center><font color=red>Collecte</font></center>
Orémus;Prions
#ORA_COLLECTE;#ORA_COLLECTE
R/. Amen.;R/. Amen.
<center><font color=red><b>Liturgia Verbi</b></font></center>;<center><font color=red><b>Liturgie de la Parole</b></font></center>
#LECTIO1;#LECTIO1
#GRADUALE;#GRADUALE
#LECTIO2;#LECTIO2
#TRACTUS;#TRACTUS
#LECTIO3;#LECTIO3
#CREDO;#CREDO
#ORA_FIDEL;#ORA_FIDEL
<center><font color=red><b>Liturgia Eucharistia</b></font></center>;<center><font color=red><b>Liturgie Eucharistique</b></font></center>
<center><font color=red>Praeparatio donorum</font></center>;<center><font color=red>Préparation des dons</font></center>
#ANT_OFF;#ANT_OFF
Benedíctus es, Dómine, Deus univérsi, quia de tua largitáte accépimus panem, quem tibi offérimus, fructum terrae et óperis mánuum hóminum: ex quo nobis fiet panis vitae.;Tu es béni, Seigneur, Dieu de l'univers, parce que de ta largesse nous recevons ce pain, que nous t'offrons, fruit de la terre et de l'œuvre des mains des hommes : de là pour nous il deviendra le pain de la vie.
(R/. Benedíctus Deus in saecula.);(R/. Béni soit Dieu dans les siècles.)
Benedíctus es, Dómine, Deus univérsi, quia de tua largitáte accépimus vinum, quod tibi offérimus, fructum vitis et óperis mánuum hóminum, ex quo nobis fiet potus spiritális.;Tu es béni, Seigneur, Dieu de l'univers, parce que de ta largesse nous recevons ce vin, que nous t'offrons, fruit de la vigne et de l'œuvre des mains des hommes : de là pour nous il deviendra la boisson spirituelle.
(R/. Benedíctus Deus in saecula.);(R/. Béni soit Dieu dans les siècles.)
<center><font color=red>Oratio super oblata</font></center>;<center><font color=red>Prière sur les offrandes</font></center>
Oráte, fratres: ut meum ac vestrum sacrifícium acceptábile fiat apud Deum Patrem omnipoténtem.;Prions, frères : pour que ce sacrifice qui est aussi le vôtre soit rendu acceptable auprès de Dieu le Père tout puissant.
R/. Suscípiat Dóminus sacrifícium de mánibus tuis ad laudem et glóriam nóminis sui, ad utilitátem quoque nostram totiúsque Ecclésiae suae sanctae.;R/. Que le Seigneur accepte ce sacrifice de vos mains pour la louange et la gloire de son nom, pour l'utilité des nôtres et de toute son Eglise sainte entière.
#ORA_SECRETE;#ORA_SECRETE
R/. Amen.;R/. Amen.
<center><font color=red>Praefatio</font></center>;<center><font color=red>Préface</font></center>
Dóminus vobíscum.;Le Seigneur soit avec vous.
R/. Et cum spíritu tuo.;R/. Et avec votre esprit.
Sursum corda.;En élevant le cœur.
R/. Habémus ad Dóminum.;R/. Nous sommes à Dieu.
Grátias agámus Dómino Deo nostro.;Que nous rendions grâce au Seigneur notre Dieu.
R/.Dignum et iustum est.;R/. C'est juste et digne.
#PREF;#PREF
