</b>Symbolum seu professio fidei<b>;</b>Symbole ou profession de Foi<b>
<b>Credo in unum Deum,</b>;<b> Je crois en Dieu Un</b>
Patrem omnipoténtem, factórem caeli et terrae, visibílium ómnium et invisibílium.;le Père tout puissant, créateur du ciel et de la terre, de tout ce qui est visible et invisible.
Et in unum Dóminum Iesum Christum, Fílium Dei Unigénitum, et ex Patre natum ante ómnia saecula. Deum de Deo, lumen de lúmine, Deum verum de Deo vero, génitum, non factum, consubstantiálem Patri: per quem ómnia facta sunt. Qui propter nos hómines et propter nostram salútem descéndit de caelis.;Et en un Seigneur Un Jésus Christ, Fils de Dieu unique engendré, et qui est né du Père avant tous les siècles. Dieu issu de Dieu, lumière issue de la lumière, vrai Dieu issu du vrai Dieu, engendré, non pas créé, consubtantiel au Père, et par qui toutes choses sont faites. Qui à cause de nous les hommes, et à cause de notre salut descendit du ciel.
<font color=red size=-1>Ad verba quae sequuntur, usque ad factus est, omnes se inclinant.</font>;"<font color=red size=-1>Aux paroles qui suivent, jusqu'à ""fait homme"", tous s'inclinent.</font>"
Et incarnátus est de Spíritu Sancto ex María Vírgine, et homo factus est.;Et s'est incarné de l'Esprit Saint par la Vierge Marie : et s'est fait Homme.
<font color=red size=-1>Deinde prosequuntur:</font>;<font color=red size=-1>Ensuite, on continue : </font>
"Crucifíxus étiam pro nobis sub Póntio Piláto; passus et sepúltus est, et resurréxit tértia die, secúndum Scriptúras, et ascéndit in caelum, sedet ad déxteram Patris. Et íterum ventúrus est cum glória, iudicáre vivos et mórtuos, cuius regni non erit finis.";"En plus crucifié pour nous sous Ponce Pilate ; il est trépassé et enterré. et il est ressucité le troisième jour, selon les Ecritures. et il est monté au ciel, il est assis à la droite du Père. Et il reviendra dans la gloire, pour juger les viants et les morts, et son règne ne sera pas fini."
Et in Spíritum Sanctum, Dóminum et vivificántem: qui ex Patre Filióque procédit. Qui cum Patre et Fílio simul adorátur et conglorificátur: qui locútus est per prophétas.;Et en l'Esprit Saint, Seigneur et vivifiant, qui procède du Père et du Fils. Qui avec le Père et le Fils en même temps est adoré et glorifié, il a parlé par les Prophètes.
Et unam, sanctam, cathólicam et apostólicam Ecclésiam. Confíteor unum baptísma in remissiónem peccatórum. Et exspécto resurrectiónem mortuórum, et vitam ventúri saeculi.;Et l'Une, Sainte, Catholique et Apostilique Eglise. Je confesse le Baptême unique en rémission des péchés. Et j'attendsla résurection des morts, et la vie des siècles venant.
Amen.;Amen.
