intitule;Dominica Pentecostes;Dimanche de la Pentecôte;
HYMNUS_laudes;hy_Beáta nobis gáudia;;
ps1;ps62;;
ps2;AT41;;
ps3;ps149;;
pmagnificat_A;Veni, Sancte Spíritus, reple tuórum corda fidélium, et tui amóris in eis ignem accénde, qui, per diversitátem linguárum cunctárum, gentes in unitátem fídei congregásti, allelúia.;Viens Esprit Saint, emplis le cœur de tes fidèles, et augmente en eux le feu de ton amour, qui, par la diversité des toutes les langues, a rassemblé tous les peuples en un seul, alléluia.;
pmagnificat_B;Veni, Sancte Spíritus, reple tuórum corda fidélium, et tui amóris in eis ignem accénde, qui, per diversitátem linguárum cunctárum, gentes in unitátem fídei congregásti, allelúia.;Viens Esprit Saint, emplis le cœur de tes fidèles, et augmente en eux le feu de ton amour, qui, par la diversité des toutes les langues, a rassemblé tous les peuples en un seul, alléluia.;
pmagnificat_C;Veni, Sancte Spíritus, reple tuórum corda fidélium, et tui amóris in eis ignem accénde, qui, per diversitátem linguárum cunctárum, gentes in unitátem fídei congregásti, allelúia.;Viens Esprit Saint, emplis le cœur de tes fidèles, et augmente en eux le feu de ton amour, qui, par la diversité des toutes les langues, a rassemblé tous les peuples en un seul, alléluia.;
oratio;Omnípotens sempitérne Deus, qui paschále sacraméntum quinquagínta diérum voluísti mystério continéri, præsta, ut, géntium facta dispersióne, divisiónes linguárum ad unam confessiónem tui nóminis cælésti múnere congregéntur. Per Dóminum.;;
benedictus_A;Accípite Spíritum Sanctum: quorum remiséritis peccáta, remittúntur eis, allelúia.;Recevez l'Esprit-Saint, ceux à qui vous remettrez les péchés, ils leur seront remis, alléluia.;Jn XX 22-23
benedictus_B;Accípite Spíritum Sanctum: quorum remiséritis peccáta, remittúntur eis, allelúia.;Recevez l'Esprit-Saint, ceux à qui vous remettrez les péchés, ils leur seront remis, alléluia.;Jn XX 22-23
benedictus_C;Accípite Spíritum Sanctum: quorum remiséritis peccáta, remittúntur eis, allelúia.;Recevez l'Esprit-Saint, ceux à qui vous remettrez les péchés, ils leur seront remis, alléluia.;Jn XX 22-23
2magnificat_A;"Hódie compléti sunt dies Pentecóstes, allelúia; hódie Spíritus Sanctus in igne discípulis appáruit, et tríbuit eis charísmatum dona; misit eos in univérsum mundum prædicáre et testificári: Qui credíderit et baptizátus fúerit, salvus erit, allelúia.";"Aujourd'hui est accompli le jour de la Pentecôte, alléluia, aujourd'hui l'Esprit Saint est apparu aux disciples dans le feu, et tu leur accordes tes dons en présents ; envoie-les dans le monde entier précher et témoigner : ceux qui croient et qui sont baptisés seront sauvés, alléluia.";
2magnificat_B;"Hódie compléti sunt dies Pentecóstes, allelúia; hódie Spíritus Sanctus in igne discípulis appáruit, et tríbuit eis charísmatum dona; misit eos in univérsum mundum prædicáre et testificári: Qui credíderit et baptizátus fúerit, salvus erit, allelúia.";"Aujourd'hui est accompli le jour de la Pentecôte, alléluia, aujourd'hui l'Esprit Saint est apparu aux disciples dans le feu, et tu leur accordes tes dons en présents ; envoie-les dans le monde entier précher et témoigner : ceux qui croient et qui sont baptisés seront sauvés, alléluia.";
2magnificat_C;"Hódie compléti sunt dies Pentecóstes, allelúia; hódie Spíritus Sanctus in igne discípulis appáruit, et tríbuit eis charísmatum dona; misit eos in univérsum mundum prædicáre et testificári: Qui credíderit et baptizátus fúerit, salvus erit, allelúia.";"Aujourd'hui est accompli le jour de la Pentecôte, alléluia, aujourd'hui l'Esprit Saint est apparu aux disciples dans le feu, et tu leur accordes tes dons en présents ; envoie-les dans le monde entier précher et témoigner : ceux qui croient et qui sont baptisés seront sauvés, alléluia.";
ant_introit_A;int_Spiritus Domini;;
ant_introit_B;int_Spiritus Domini
ant_introit_C;int_Spiritus Domini
graduel_A;al_Emitte Spiritum tuum
graduel_B;al_Emitte Spiritum tuum
graduel_C;al_Emitte Spiritum tuum
sequence;seq_Veni, Sancte Spiritus
acclamation_A;al_Veni, Sancte Spiritus
acclamation_B;al_Veni, Sancte Spiritus
acclamation_C;al_Veni, Sancte Spiritus
ant_off_A;off_Confirma hoc, Deus
ant_off_B;off_Confirma hoc, Deus
ant_off_C;off_Confirma hoc, Deus
ant_com_A;com_Factus est repente
ant_com_B;com_Factus est repente
ant_com_C;com_Factus est repente
ora_coll;V/. Deus, qui sacraménto festivitátis hodiérnae univérsam Ecclésiam tuam in omni gente et natióne sanctíficas, in totam mundi latitúdinem Spíritus Sancti dona defúnde, et, quod inter ipsa evangélicae praedicatiónis exórdia operáta est divína dignátio, nunc quoque per credéntium corda perfúnde. Per Dóminum.
ora_secr;V/. Praesta, quaesumus, Dómine, ut, secúndum promissiónem Fílii tui, Spíritus Sanctus huius nobis sacrifícii copiósius revélet arcánum, et omnem propítius réseret veritátem. Per Christum.
ora_post;V/. Deus, qui Ecclésiae tuae caeléstia dona largíris, custódi grátiam quam dedísti, ut Spíritus Sancti vígeat semper munus infúsum, et ad aetérnae redemptiónis augméntum spiritális esca profíciat. Per Christum.
ben_sol;V/. Deus, Pater lúminum, qui discipulórum mentes Spíritus Parácliti infusióne dignátus est illustráre, sua vos fáciat benedictióne gaudére, et perpétuo donis eiúsdem Spíritus abundáre. R/. Amen. V/. Ignis ille, qui super discípulos mirándus appáruit, corda vestra ab omni malo poténter expúrget, et sui lúminis infusióne perlústret. R/. Amen. V/. Quique dignátus est in uníus fídei confessióne diversitátem adunáre linguárum, in eádem fide perseveráre vos fáciat, et per illam a spe ad spéciem perveníre concédat.
praefatio;"Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus. Tu enim, sacraméntum paschále consúmmans, quibus, per Unigéniti tui consórtium, fílios adoptiónis esse tribuísti, hódie Spíritum Sanctum es largítus; qui, princípio nascéntis Ecclésiae, et cunctis géntibus sciéntiam índidit deitátis, et linguárum diversitátem in uníus fídei confessióne sociávit. Quaprópter, profúsis paschálibus gáudiis, totus in orbe terrárum mundus exsúltat. Sed et supérnae virtútes atque angélicae potestátes hymnum glóriae tuae cóncinunt, sine fine dicéntes: "
LM_1_A;
LM_2_A;
LM_3_A;
LM_1_B;
LM_2_B;
LM_3_B;
LM_1_C;
LM_2_C;
LM_3_C;
