Hebdomada I Adventus;Dominica
Hebdomada I Adventus;Feria secunda
Hebdomada I Adventus;Feria tertia
Hebdomada I Adventus;Feria quarta
Hebdomada I Adventus;Feria quinta
Hebdomada I Adventus;Feria sexta
Hebdomada I Adventus;Sabbato
Hebdomada II Adventus;Dominica
Hebdomada II Adventus;Feria secunda
Hebdomada II Adventus;Feria tertia
Hebdomada II Adventus;Feria quarta
Hebdomada II Adventus;Feria quinta
Hebdomada II Adventus;Feria sexta
Hebdomada II Adventus;Sabbato
Hebdomada III Adventus;Dominica
Hebdomada III Adventus;Feria secunda
Hebdomada III Adventus;Feria tertia;;;
Hebdomada III Adventus;Feria quarta;;;
Hebdomada III Adventus;Feria quinta;;;
Hebdomada III Adventus;Feria sexta;;;
Hebdomada III Adventus;Sabbato;;;
Hebdomada IV Adventus;Dominica;LM_Is 7,10-16;LM_Rm 1,1-7;LM_Mt 1, 18-24
Hebdomada IV Adventus;Feria secunda;;;
Hebdomada IV Adventus;Feria tertia;;;
Hebdomada IV Adventus;Feria quarta;;;
Hebdomada IV Adventus;Feria quinta;;;
Hebdomada IV Adventus;Feria sexta;;;
Hebdomada IV Adventus;Sabbato;;;
Infra octavam paschae;Dominica;;;
Infra octavam paschae;Feria secunda;;;
Infra octavam paschae;Feria tertia;;;
Infra octavam paschae;Feria quarta;;;
Infra octavam paschae;Feria quinta
Infra octavam paschae;Feria sexta
Infra octavam paschae;Sabbato
Hebdomada II Paschae;Dominica
Hebdomada II Paschae;Feria secunda
Hebdomada II Paschae;Feria tertia
Hebdomada II Paschae;Feria quarta
Hebdomada II Paschae;Feria quinta
Hebdomada II Paschae;Feria sexta
Hebdomada II Paschae;Sabbato
Hebdomada III Paschae;Dominica
Hebdomada III Paschae;Feria secunda
Hebdomada III Paschae;Feria tertia
Hebdomada III Paschae;Feria quarta
Hebdomada III Paschae;Feria quinta
Hebdomada III Paschae;Feria sexta
Hebdomada III Paschae;Sabbato;;;
Hebdomada IV Paschae;Dominica;;;
Hebdomada IV Paschae;Feria secunda;;;
Hebdomada IV Paschae;Feria tertia;;;
Hebdomada IV Paschae;Feria quarta;;;
Hebdomada IV Paschae;Feria quinta;;;
Hebdomada IV Paschae;Feria sexta;;;
Hebdomada IV Paschae;Sabbato;;;
Hebdomada V Paschae;Dominica;;;
Hebdomada V Paschae;Feria secunda;Ac 14,5-18;;Jn 14,21-26
Hebdomada V Paschae;Feria tertia;Ac 14,19-28;;Jn 14,27-31a
Hebdomada V Paschae;Feria quarta;Ac 15,1-6;;Jn 15,1-8
Hebdomada V Paschae;Feria quinta;Ac 15,7-21;;Jn 15,9-11
Hebdomada V Paschae;Feria sexta;Ac 15,22-31;;Jn 15,12-17
Hebdomada V Paschae;Sabbato;Ac 16,1-10;;Jn 15,18-21
Hebdomada VI Paschae;Dominica;;;
Hebdomada VI Paschae;Feria secunda;;;
Hebdomada VI Paschae;Feria tertia;;;
Hebdomada VI Paschae;Feria quarta;;;
Hebdomada VI Paschae;Feria quinta;;;
Hebdomada VI Paschae;Feria sexta;;;
Hebdomada VI Paschae;Sabbato;;;
Hebdomada VII Paschae;Dominica;;;
Hebdomada VII Paschae;Feria secunda;Ac 19,1-8;;Jn 16,29-33
Hebdomada VII Paschae;Feria tertia;Ac 20,17-27;;Jn 17,1-11a 
Hebdomada VII Paschae;Feria quarta;Ac 20,28-38;;Jn 17,11b-19
Hebdomada VII Paschae;Feria quinta;Ac 22,30 et 23,6-11;;Jn 17,20-26
Hebdomada VII Paschae;Feria sexta;Ac 25,13-21;;Jn 21,15-19
Hebdomada VII Paschae;Sabbato;Ac 28,16-20;;Jn 21,20-25
