#JOUR;#JOUR
<center><b>RITUS INITIALES</b></center>;<center><b>RITES INITIAUX</b></center>
#ANT_INTROIT;#ANT_INTROIT
<center><font color=red>Signum crucis</font></center>;<center><font color=red>Signe de croix</font></center>
<b>In nómine Patris, et Fílii, et Spíritus Sancti. </b>;<b>Au nom du Père et du Fils et Saint Esprit. </b>
R/. Amen.;R/. Amen.
<center><font color=red>Salutatio populi</font></center>;<center><font color=red>Salutation au peuple</font></center>
#ACCUEIL;#ACCUEIL
<center><font color=red>Actus paenitentialis</font></center>;<center><font color=red>Acte pénitentiel</font></center>
#PAENI;#PAENI
<font color=red size=-1>Deinde:</font>;<font color=red size=-1>Ensuite :</font>
<b>Misereátur nostri omnípotens Deus et, dimissís peccátis nostris, perdúcat nos ad vitam aetérnam.</b>;<b>Aie pitié de nous Dieu tout puissant et, nos péchés ayant été renvoyés, conduis-nous à la vie éternelle.</b>
R/. Amen.;R/. Amen.
V/. Kyrie, eléison. R/. Kyrie, eléison.;V/. Seigneur aie pitié. R/. Seigneur aie pitié.
V/. Christe, eléison. R/. Christe, eléison.;V/. O Christ aie pitié. R/. O Christ aie pitié.
V/. Kyrie, eléison. R/. Kyrie, eléison. ;V/. Seigneur aie pitié. R/. Seigneur aie pitié.
#HY_GLORIA;#HY_GLORIA
<center><font color=red>Collecta</font></center>;<center><font color=red>Collecte</font></center>
<b>Orémus</b>;<b>Prions</b>
#ORA_COLLECTE;#ORA_COLLECTE
R/. Amen.;R/. Amen.
<center><b>LITURGIA VERBI</b></center>;<center><b>LITURGIE DE LA PAROLE</b></center>
#LECTIO1;#LECTIO1
#GRADUALE;#GRADUALE
#LECTIO2;#LECTIO2
#TRACTUS;#TRACTUS
#LECTIO3;#LECTIO3
#CREDO;#CREDO
#ORA_FIDEL;#ORA_FIDEL
<center><b>LITURGIA EUCHARISTIA</b></center>;<center><b>LITURGIE EUCHARSITIQUE</b></center>
<center><font color=red>Praeparatio donorum</font></center>;<center><font color=red>Préparation des dons</font></center>
#ANT_OFF;#ANT_OFF
<b>Benedíctus es, Dómine, Deus univérsi, quia de tua largitáte accépimus panem, quem tibi offérimus, fructum terrae et óperis mánuum hóminum: ex quo nobis fiet panis vitae.</b>;<b>Tu es béni, Seigneur, Dieu de l'univers, parce que de ta largesse nous recevons ce pain, que nous t'offrons, fruit de la terre et de l'œuvre de la main de l'homme : de là pour nous il deviendra le pain de la vie.</b>
(R/. Benedíctus Deus in saecula.);(R/. Béni soit Dieu dans les siècles.)
<b>Benedíctus es, Dómine, Deus univérsi, quia de tua largitáte accépimus vinum, quod tibi offérimus, fructum vitis et óperis mánuum hóminum, ex quo nobis fiet potus spiritális.</b>;<b>Tu es béni, Seigneur, Dieu de l'univers, parce que de ta largesse nous recevons ce vin, que nous t'offrons, fruit de la vigne et de l'œuvre de la main de l'homme : de là pour nous il deviendra la boisson spirituelle.</b>
(R/. Benedíctus Deus in saecula.);(R/. Béni soit Dieu dans les siècles.)
<center><font color=red>Oratio super oblata</font></center>;<center><font color=red>Prière sur les offrandes</font></center>
<b>Oráte, fratres: ut meum ac vestrum sacrifícium acceptábile fiat apud Deum Patrem omnipoténtem.</b>;<b>Prions, frères : pour que ce sacrifice qui est aussi le vôtre soit rendu acceptable auprès de Dieu le Père tout puissant.</b>
R/. Suscípiat Dóminus sacrifícium de mánibus tuis ad laudem et glóriam nóminis sui, ad utilitátem quoque nostram totiúsque Ecclésiae suae sanctae.;R/. Que le Seigneur accepte ce sacrifice de vos mains pour la louange et la gloire de son nom, pour nous et toute son Eglise sainte.
#ORA_SECRETE;#ORA_SECRETE
R/. Amen.;R/. Amen.
<center><font color=red>Praefatio</font></center>;<center><font color=red>Préface</font></center>
<b>Dóminus vobíscum.</b>;<b>Le Seigneur soit avec vous.</b>
R/. Et cum spíritu tuo.;R/. Et avec votre esprit.
<b>Sursum corda.</b>;<b>Haut les coeurs.</b>
R/. Habémus ad Dóminum.;R/. Nous les avons vers le Seigneur.
<b>Grátias agámus Dómino Deo nostro.</b>;<b>Que nous rendions grâce au Seigneur notre Dieu.</b>
R/. Dignum et iustum est.;R/. Cela est digne et juste.
#PREF;#PREF
