DOMINICA RESURRECTIONIS;Vere dignum et iustum est, aequum et salutáre: Te quidem, Dómine, omni témpore confitéri, sed in hac potíssimum die gloriósius praedicáre, cum Pascha nostrum immolátus est Christus. Ipse enim verus est Agnus qui ábstulit peccáta mundi. Qui mortem nostram moriéndo destrúxit, et vitam resurgéndo reparávit. Quaprópter, profúsis paschálibus gáudiis, totus in orbe terrárum mundus exsúltat. Sed et supérnae virtútes atque angélicae potestátes hymnum glóriae tuae cóncinunt, sine fine dicéntes: ;;De mysterio paschali
Dominica II Paschae;Vere dignum et iustum est, aequum et salutáre: Te quidem, Dómine, omni témpore confitéri, sed in hoc potíssimum gloriósus praedicáre, cum Pascha nostrum immolátus est Christus. Ipse enim verus est Agnus qui ábstulit peccáta mundi. Qui mortem nostram moriéndo destrúxit, et vitam resurgéndo reparávit. Quaprópter, profúsis paschálibus gáudiis, totus in orbe terrárum mundus exsúltat. Sed et supérnae virtútes atque angélicae potestátes hymnum glóriae tuae cóncinunt, sine fine dicéntes: ;;De mysterio paschali
1;Vere dignum et iustum est, aequum et salutáre: Te quidem, Dómine, omni témpore confitéri, sed in hac potíssimum nocte (die) gloriósius praedicáre, (sed in hoc potíssimum gloriósus praedicáre,) cum Pascha nostrum immolátus est Christus. Ipse enim verus est Agnus qui ábstulit peccáta mundi. Qui mortem nostram moriéndo destrúxit, et vitam resurgéndo reparávit. Quaprópter, profúsis paschálibus gáudiis, totus in orbe terrárum mundus exsúltat. Sed et supérnae virtútes atque angélicae potestátes hymnum glóriae tuae cóncinunt, sine fine dicéntes: ;;De mysterio paschali
2;Vere dignum et iustum est, aequum et salutáre: Te quidem, Dómine, omni témpore confitéri, sed in hoc potíssimum gloriósius praedicáre, cum Pascha nostrum immolátus est Christus. Per quem in aetérnam vitam fílii lucis oriúntur, et regni caeléstis átria fidélibus reserántur. Quia mors nostra est eius morte redémpta, et in eius resurrectióne vita ómnium resurréxit. Quaprópter, profúsis paschálibus gáudiis, totus in orbe terrárum mundus exsúltat. Sed et supérnae virtútes atque angélicae potestátes hymnum glóriae tuae cóncinunt, sine fine dicéntes: ;;De vita nova in Christo
3;"Vere dignum et iustum est, aequum et salutáre: Te quidem, Dómine, omni témpore confitéri, sed in hoc potíssimum gloriósius praedicáre, cum Pascha nostrum immolátus est Christus. Qui se pro nobis offérre non désinit, nosque apud te perénni advocatióne deféndit; qui immolátus iam non móritur, sed semper vivit occísus. Quaprópter, profúsis paschálibus gáudiis, totus in orbe terrárum mundus exsúltat. Sed et supérnae virtútes atque angélicae potestátes hymnum glóriae tuae cóncinunt, sine fine dicéntes: ";;De Christo vivente et semper interpellante pro nobis
4;Vere dignum et iustum est, aequum et salutáre: Te quidem, Dómine, omni témpore confitéri, sed in hoc potíssimum gloriósius praedicáre, cum Pascha nostrum immolátus est Christus. Quia, vetustáte destrúcta, renovántur univérsa deiécta, et vitae nobis in Christo reparátur intégritas. Quaprópter, profúsis paschálibus gáudiis, totus in orbe terrárum mundus exsúltat. Sed et supérnae virtútes atque angélicae potestátes hymnum glóriae tuae cóncinunt, sine fine dicéntes: ;;De restauratione universi per mysterium paschale
5;Vere dignum et iustum est, aequum et salutáre: Te quidem, Dómine, omni témpore confitéri, sed in hoc potíssimum gloriósius praedicáre, cum Pascha nostrum immolátus est Christus. Qui, oblatióne córporis sui, antíqua sacrifícia in crucis veritáte perfécit, et, seípsum tibi pro nostra salúte comméndans, idem sacérdos, altáre et agnus exhíbuit. Quaprópter, profúsis paschálibus gáudiis, totus in orbe terrárum mundus exsúltat. Sed et supérnae virtútes atque angélicae potestátes hymnum glóriae tuae cóncinunt, sine fine dicéntes: ;;De Christo sacerdote et victima
IN ASCENSIONE DOMINI 1;"Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus: Quia Dóminus Iesus, Rex glóriae, peccáti triumphátor et mortis, mirántibus Angelis, ascéndit (hódie) summa caelórum, Mediátor Dei et hóminum, Iudex mundi Dominúsque virtútum; non ut a nostra humilitáte discéderet, sed ut illuc confiderémus, sua membra, nos súbsequi quo ipse, caput nostrum principiúmque, praecéssit. Quaprópter, profúsis paschálibus gáudiis, totus in orbe terrárum mundus exsúltat. Sed et supérnae virtútes atque angélicae potestátes hymnum glóriae tuae cóncinunt, sine fine dicéntes: ";;
IN ASCENSIONE DOMINI 2;Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus: per Christum Dóminum nostrum. Qui post resurrectiónem suam ómnibus discípulis suis maniféstus appáruit, et ipsis cernéntibus est elevátus in caelum, ut nos divinitátis suae tribúeret esse partícipes. Quaprópter, profúsis paschálibus gáudiis, totus in orbe terrárum mundus exsúltat. Sed et supérnae virtútes atque angélicae potestátes hymnum glóriae tuae cóncinunt, sine fine dicéntes: ;;
Dominica Pentecostes;"Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus. Tu enim, sacraméntum paschále consúmmans, quibus, per Unigéniti tui consórtium, fílios adoptiónis esse tribuísti, hódie Spíritum Sanctum es largítus; qui, princípio nascéntis Ecclésiae, et cunctis géntibus sciéntiam índidit deitátis, et linguárum diversitátem in uníus fídei confessióne sociávit. Quaprópter, profúsis paschálibus gáudiis, totus in orbe terrárum mundus exsúltat. Sed et supérnae virtútes atque angélicae potestátes hymnum glóriae tuae cóncinunt, sine fine dicéntes: ";;
