Dominica I Quadragesimae;Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus: per Christum Dóminum nostrum. Qui quadragínta diébus, terrénis ábstinens aliméntis, formam huius observántiae ieiúnio dedicávit, et, omnes evértens antíqui serpéntis insídias, ferméntum malítiae nos dócuit superáre, ut, paschále mystérium dignis méntibus celebrántes, ad pascha demum perpétuum transeámus. Et ídeo cum Angelórum atque Sanctórum turba hymnum laudis tibi cánimus, sine fine dicéntes: ;;Dominica I Quadragesimae
Dominica II Quadragesimae;Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus: per Christum Dóminum nostrum. Qui, própria morte praenuntiáta discípulis, in monte sancto suam eis apéruit claritátem, ut per passiónem, étiam lege prophetísque testántibus, ad glóriam resurrectiónis perveníri constáret. Et ídeo cum caelórum virtútibus in terris te iúgiter celebrámus, maiestáti tuae sine fine clamántes: ;;Dominica II Quadragesimae
Dominica III Quadragesimae;Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus: per Christum Dóminum nostrum. Qui, dum aquae sibi pétiit potum a Samaritána praebéri, iam in ea fídei donum ipse creáverat, et ita eius fidem sitíre dignátus est, ut ignem in illa divíni amóris accénderet. Unde et nos tibi grátias ágimus, et tuas virtútes cum Angelis praedicámus, dicéntes: ;;Dominica III Quadragesimae
Dominica IV Quadragesimae;Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus: per Christum Dóminum nostrum. Qui genus humánum, in ténebris ámbulans, ad fídei claritátem per mystérium incarnatiónis addúxit, et, qui servi peccáti véteris nascebántur, per lavácrum regeneratiónis in fílios adoptiónis assúmpsit. Propter quod caeléstia tibi atque terréstria cánticum novum cóncinunt adorándo, et nos, cum omni exércitu Angelórum, proclamámus, sine fine dicéntes: ;;Dominica IV Quadragesimae
Dominica V Quadragesimae;Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus: per Christum Dóminum nostrum. Ipse enim verus homo Lázarum flevit amícum, et Deus aetérnus e túmulo suscitávit, qui, humáni géneris miserátus, ad novam vitam sacris mystériis nos addúcit. Per quem maiestátem tuam adórat exércitus Angelórum, ante conspéctum tuum in aeternitáte laetántium. Cum quibus et nostras voces ut admítti iúbeas, deprecámur, sócia exsultatióne dicéntes: ;;Dominica V Quadragesimae
1;Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus: per Christum Dóminum nostrum. Quia fidélibus tuis dignánter concédis quotánnis paschália sacraménta in gáudio purificátis méntibus exspectáre: ut, pietátis offícia et ópera caritátis propénsius exsequéntes, frequentatióne mysteriórum, quibus renáti sunt, ad grátiae filiórum plenitúdinem perducántur. Et ídeo cum Angelis et Archángelis, cum Thronis et Dominatiónibus, cumque omni milítia caeléstis exércitus, hymnum glóriae tuae cánimus, sine fine dicéntes: ;;De spiritali significatione Quadragesimae
2;Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus: Qui fíliis tuis ad reparándam méntium puritátem, tempus praecípuum salúbriter statuísti, quo, mente ab inordinátis afféctibus expedíta, sic incúmberent transitúris ut rebus pótius perpétuis inhaerérent. Et ídeo, cum Sanctis et Angelis univérsis, te collaudámus, sine fine dicéntes: ;;De spiritali paenitentia
3;Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus: Qui nos per abstinéntiam tibi grátias reférre voluísti, ut ipsa et nos peccatóres ab insoléntia mitigáret, et, egéntium profíciens aliménto, imitatóres tuae benignitátis effíceret. Et ídeo, cum innúmeris Angelis, una te magnificámus laudis voce dicéntes: ;;De fructibus abstinentiae
4;Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus: Qui corporáli ieiúnio vítia cómprimis, mentem élevas, virtútem largíris et praemia: per Christum Dóminum nostrum. Per quem maiestátem tuam laudant Angeli, adórant Dominatiónes, tremunt Potestátes. Caeli caelorúmque Virtútes, ac beáta Séraphim, sócia exsultatióne concélebrant. Cum quibus et nostras voces ut admítti iúbeas, deprecámur, súpplici confessióne dicéntes: ;;De fructibus ieiunii
5;Vere dignum et iustum est, aequum et salutáre, nos tibi semper et ubíque grátias ágere: Dómine, sancte Pater, omnípotens aetérne Deus: Quia per Fílii tui salutíferam passiónem sensum confiténdae tuae maiestátis totus mundus accépit, dum ineffábili crucis poténtia iudícium mundi et potéstas émicat Crucifíxi. Unde et nos, Dómine, cum Angelis et Sanctis univérsis, tibi confitémur, in exsultatióne dicéntes: ;;De virtute Crucis
