jour;Die 24 decembri;Le 24 Décembre
intitule;IN NATIVITATE DOMINI in vigilia;EN LA NATIVITE DU SEIGNEUR la veille
rang;Sollemnitas;Solennité
ant_introit_A;int_Hódie sciétis;
ant_introit_B;int_Hódie sciétis;
ant_introit_C;int_Hódie sciétis;
graduel_A;gra_Hódie sciétis;
graduel_B;gra_Hódie sciétis;
graduel_C;gra_Hódie sciétis;
acclamation_A;al_Crástina die;
acclamation_B;al_Crástina die;
acclamation_C;al_Crástina die;
sequence;;
ant_off_A;off_Tóllite portas;
ant_off_B;off_Tóllite portas;
ant_off_C;off_Tóllite portas;
ant_com_A;com_Revelábitur glória Dómini
ant_com_B;com_Revelábitur glória Dómini
ant_com_C;com_Revelábitur glória Dómini
ora_coll;Deus, qui nos redemptiónis nostrae ánnua exspectatióne laetíficas, praesta, ut Unigénitum tuum, quem laeti suscípimus Redemptórem, veniéntem quoque Iúdicem secúri vidére mereámur Dóminum nostrum, Iesum Christum. Qui tecum.
ora_secr;Tanto nos, Dómine, quaesumus, promptióre servítio haec praecúrrere concéde sollémnia, quanto in his constáre princípium nostrae redemptiónis osténdis. Per Christum.
ora_post;Da nobis, quaesumus, Dómine, Unigéniti Fílii tui recensíta nativitáte vegetári, cuius caelésti mystério páscimur et potámur. Qui vivit et regnat in saecula saeculórum.
ben_sol;Deus infinítae bonitátis, qui incarnatióne Fílii sui mundi ténebras effugávit, et eius gloriósa nativitáte hanc diem sacratíssimam irradiávit, effúget a vobis ténebras vitiórum, et irrádiet corda vestra luce virtútum. R. Amen. Quique eius salutíferae nativitátis gáudium magnum pastóribus ab Angelo vóluit nuntiári, ipse mentes vestras suo gáudio ímpleat, et vos Evangélii sui núntios effíciat. R. Amen. Et, qui per eius incarnatiónem terréna caeléstibus sociávit, dono vos suae pacis et bonae répleat voluntátis, et vos fáciat Ecclésiae consórtes esse caeléstis. R. Amen.
ora_sup;
praefatio;
LM_1_A;LM_Is 62,1-5
LM_2_A;LM_Ac 13,16-25
LM_3_A;LM_Mt 1,1-25
LM_1_B;LM_Is 62,1-5
LM_2_B;LM_Ac 13,16-25
LM_3_B;LM_Mt 1,1-25
LM_1_C;LM_Is 62,1-5
LM_2_C;LM_Ac 13,16-25
LM_3_C;LM_Mt 1,1-25
