jour;;
intitule;SANCTAE FAMILIAE IESU, MARIAE ET IOSEPH;SAINTE FAMILLE JESUS, MARIE ET JOSEPH
rang;Festum;Fête
ant_introit_A;int_Deus in loco sancto suo;
ant_introit_B;int_Deus in loco sancto suo;
ant_introit_C;int_Deus in loco sancto suo;
graduel_A;gra_Unam petii;
graduel_B;gra_Unam petii;
graduel_C;gra_Unam petii;
acclamation_A;al_Gaudete, iusti;
acclamation_B;al_Gaudete, iusti;
acclamation_C;al_Gaudete, iusti;
sequence;;
ant_off_A;off_In te speravi;
ant_off_B;off_In te speravi;
ant_off_C;off_In te speravi;
ant_com_A;com_Tolle puerum
ant_com_B;com_Fili, quid fecisti
ant_com_C;com_Fili, quid fecisti
ora_coll;Deus, qui praeclára nobis sanctae Famíliae dignátus es exémpla praebére, concéde propítius, ut, domésticis virtútibus caritatísque vínculis illam sectántes, in laetítia domus tuae praemiis fruámur aetérnis. Per Dóminum.
ora_secr;Hóstiam tibi placatiónis offérimus, Dómine, supplíciter deprecántes, ut, Deíparae Vírginis beatíque Ioseph interveniénte suffrágio, famílias nostras in tua grátia fírmiter et pace constítuas. Per Christum.
ora_post;Quos caeléstibus réficis sacraméntis, fac, clementíssime Pater, sanctae Famíliae exémpla iúgiter imitári, ut, post aerúmnas saeculi, eius consórtium consequámur aetérnum. Per Christum.
ben_sol;
ora_sup;
praefatio;3
LM_1_A;LM_Si 3,3-7.14-17
LM_2_A;LM_Col 3,12-21
LM_3_A;LM_Mt 2,13-15.19-23
LM_1_B;LM_Gn 15,1-6.21,1-3
LM_2_B;LM_He 11,8.11-12.17-19
LM_3_B;LM_Lc 2,22-40
LM_1_C;LM_1S 1,20-22.24-28
LM_2_C;
LM_3_C;LM_Lc 2,41-52
