ant_introit_A;int_Sitientes
ant_introit_B;int_Deus, in adiutorium
ant_introit_C;int_Deus, in adiutorium
graduel_A;gra_Oculi omnium
graduel_B;gra_Benedicam Dominum
graduel_C;gra_Benedicam Dominum
acclamation_A;al_Domine Deus salutis meae
acclamation_B;al_Domine Deus salutis meae
acclamation_C;al_Domine Deus salutis meae
ant_off_A;off_Precatus est Moyses
ant_off_B;off_Precatus est Moyses
ant_off_C;off_Sancticavit
ant_com_A;com_Panem de caelo
ant_com_B;com_Panem de caelo
ant_com_C;com_Panem de caelo
praefatio;2
