ant_introit_A;int_In nomine Domini
ant_introit_B;int_Omnia quae fecisti
ant_introit_C;int_Omnia quae fecisti
graduel_A;gra_Christus factus est
graduel_B;gra_Oculi omnium
graduel_C;gra_Oculi omnium
acclamation_A;al_Paratum cor meum
acclamation_B;al_Paratum cor meum
acclamation_C;al_Paratum cor meum
ant_off_A;off_Super flumina
ant_off_B;off_Super flumina
ant_off_C;off_Super flumina
ant_com_A;com_Memento verbi tui
ant_com_B;com_Memento verbi tui
ant_com_C;com_Memento verbi tui
praefatio;2
