Te ígitur, clementíssime Pater, per Iesum Christum, Fílium tuum, Dóminum nostrum, súpplices rogámus ac pétimus, iungit manus et dicit: uti accépta hábeas signat semel super panem et calicem simul, dicens: et benedícas + haec dona, haec múnera, haec sancta sacrifícia illibáta, extensis manibus prosequitur: in primis, quae tibi offérimus pro Ecclésia tua sancta cathólica: quam pacificáre, custodíre, adunáre et régere dignéris toto orbe terrárum: una cum fámulo tuo Papa nostro N. et Antístite nostro N. (*)  et ómnibus orthodóxis atque cathólicae et apostólicae fídei cultóribus.;;Vere Sanctus es, Dómine, fons omnis sanctitátis.;;Vere Sanctus es, Dómine, et mérito te laudat omnis a te cóndita creatúra, quia per Fílium tuum, Dóminum nostrum Iesum Christum, Spíritus Sancti operánte virtúte, vivíficas et sanctíficas univérsa, et pópulum tibi congregáre non désinis, ut a solis ortu usque ad occásum oblátio munda offerátur nómini tuo.;;"Confitémur tibi, Pater sancte, quia magnus es et ómnia ópera tua in sapiéntia et caritáte fecísti. Hóminem ad tuam imáginem condidísti, eíque commisísti mundi curam univérsi, ut, tibi soli Creatóri sérviens, creatúris ómnibus imperáret. Et cum amicítiam tuam, non obo´ diens, amisísset, non eum dereliquísti in mortis império. Omnibus enim misericórditer subvenísti, ut te quaeréntes invenírent. Sed et fo´dera plúries homínibus obtulísti eósque per prophétas erudísti in exspectatióne salútis. Et sic, Pater sancte, mundum dilexísti, ut, compléta plenitúdine témporum, Unigénitum tuum nobis mítteres Salvatórem. Qui, incarnátus de Spíritu Sancto et natus ex María Vírgine, in nostra condiciónis forma est conversátus per ómnia absque peccáto; salútem evangelizávit paupéribus, redemptiónem captívis, maestis corde laetítiam. Ut tuam vero dispensatiónem impléret, in mortem trádidit semetípsum ac, resúrgens a mórtuis, mortem destrúxit vitámque renovávit. Et, ut non ámplius nobismetípsis viverémus, sed sibi qui pro nobis mórtuus est atque surréxit, a te, Pater, misit Spíritum Sanctum primítias credéntibus, qui, opus suum in mundo perfíciens, omnem sanctificatiónem compléret.";
Meménto, Dómine, famulórum famularúmque tuárum N. et N. et ómnium circumstántium, quorum tibi fides cógnita est et nota devótio, pro quibus tibi offérimus (vel qui tibi ófferunt hoc sacrifícium laudis): pro redemptióne animárum suárum, pro spe salútis et incolumitátis suae: tibíque reddunt vota sua aetérno Deo, vivo et vero.;;;;;;;
"Communicántes, et memóriam venerántes, in primis gloriósae semper Vírginis Maríae, Genetrícis Dei et Dómini nostri Iesu Christi: + sed et beáti Ioseph, eiúsdem Vírginis Sponsi, et beatórum Apostolórum ac Mártyrum tuórum, Petri et Pauli, Andréae, (Iacóbi, Ioánnis, Thomae, Iacóbi, Philíppi, Bartholomaei, Matthaei, Simónis et Thaddaei: Lini, Cleti, Cleméntis, Xysti, Cornélii, Cypriáni, Lauréntii, Chrysógoni, Ioánnis et Pauli, Cosmae et Damiáni) et ómnium Sanctórum tuórum; quorum méritis precibúsque concédas, ut in ómnibus protectiónis tuae muniámur auxílio. (Per Christum Dóminum nostrum. Amen.)";;;;;;;
Hanc ígitur oblatiónem servitútis nostrae, sed et cunctae famíliae tuae, quaesumus, Dómine, ut placátus accípias: diésque nostros in tua pace dispónas, atque ab aetérna damnatióne nos éripi et in electórum tuórum iúbeas grege numerári. Iungit manus. (Per Christum Dóminum nostrum. Amen.);;;;;;;
Quam oblatiónem tu, Deus, in ómnibus, quaesumus, benedíctam, adscríptam, ratam, rationábilem, acceptabilémque fácere dignéris: ut nobis Corpus et Sanguis fiat dilectíssimi Fílii tui, Dómini nostri Iesu Christi. ;;Haec ergo dona, quaesumus, Spíritus tui rore sanctífica, ut nobis Corpus et + Sanguis fiant Dómini nostri Iesu Christi.;;Súpplices ergo te, Dómine, deprecámur, ut haec múnera, quae tibi sacránda detúlimus, eódem Spíritu sanctificáre dignéris, ut Corpus et + Sanguis fiant Fílii tui Dómini nostri Iesu Christi,;;Quaesumus ígitur, Dómine, ut idem Spíritus Sanctus haec múnera sanctificáre dignétur, iungit manus et signat semel super panem et calicem simul, dicens: ut Corpus et + Sanguis fiant Dómini nostri Iesu Christi iungit manus ad hoc magnum mystérium celebríndum, quod ipse nobis relíquit in fodus aetérnum.;
Qui, prídie quam paterétur, accépit panem in sanctas ac venerábiles manus suas et elevátis óculis in caelum ad te Deum Patrem suum omnipoténtem, tibi grátias agens benedíxit, fregit, dedítque discípulis suis, dicens:;;Qui cum Passióni voluntárie traderétur accépit panem et grátias agens fregit, dedítque discípulis suis, dicens:;;Ipse enim in qua nocte tradebátur accépit panem et tibi grátias agens benedíxit, fregit, dedítque discípulis suis, dicens:;;Ipse enim, cum hora venísset ut glorificarétur a te, Pater sancte, ac dilexísset suos qui erant in mundo, in finem diléxit eos: accépit panem, benedíxit ac fregit, dedítque discípulis suis, dicens:;
ACCÍPITE ET MANDUCÁTE EX HOC OMNES: HOC EST ENIM CORPUS MEUM, QUOD PRO VOBIS TRADÉTUR.;RECEVEZ ET MANGEZ EN TOUS : CECI EST MON CORPS, LIVRE POUR VOUS.;ACCÍPITE ET MANDUCÁTE EX HOC OMNES: HOC EST ENIM CORPUS MEUM, QUOD PRO VOBIS TRADÉTUR.;RECEVEZ ET MANGEZ EN TOUS : CECI EST MON CORPS, LIVRE POUR VOUS.;ACCÍPITE ET MANDUCÁTE EX HOC OMNES: HOC EST ENIM CORPUS MEUM, QUOD PRO VOBIS TRADÉTUR.;RECEVEZ ET MANGEZ EN TOUS : CECI EST MON CORPS, LIVRE POUR VOUS.;ACCÍPITE ET MANDUCÁTE EX HOC OMNES: HOC EST ENIM CORPUS MEUM, QUOD PRO VOBIS TRADÉTUR.;RECEVEZ ET MANGEZ EN TOUS : CECI EST MON CORPS, LIVRE POUR VOUS.
Símili modo, postquam cenátum est, accípiens et hunc praeclárum cálicem in sanctas ac venerábiles manus suas, item tibi grátias agens benedíxit, dedítque discípulis suis, dicens:;;Símili modo, postquam cenátum est accípiens et cálicem íterum tibi grátias agens dedit discípulis suis, dicens:;;Símili modo, postquam cenátum est, accípiens cálicem, et tibi grátias agens benedíxit, dedítque discípulis suis, dicens:;;Símili modo accípiens cálicem, ex genímine vitis replétum, grátias egit, dedítque discípulis suis, dicens:;
ACCÍPITE ET BÍBITE EX EO OMNES: HIC EST ENIM CALIX SÁNGUINIS MEI NOVI ET AETÉRNI TESTAMÉNTI, QUI PRO VOBIS ET PRO MULTIS EFFUNDÉTUR IN REMISSIÓNEM PECCATÓRUM. HOC FÁCITE IN MEAM COMMEMORATIÓNEM.;RECEVEZ ET BUVEZ EN TOUS : CECI EST LE CALICE DE MON SANG POUR LA NOUVELLE ET ETERNELLE ALLIANCE, QUI POUR VOUS ET LA MULTITUDE A ETE REPANDU EN REMISSION DES PECHE. FAITES CECI EN MEMOIRE DE MOI.;ACCÍPITE ET BÍBITE EX EO OMNES: HIC EST ENIM CALIX SÁNGUINIS MEI NOVI ET AETÉRNI TESTAMÉNTI, QUI PRO VOBIS ET PRO MULTIS EFFUNDÉTUR IN REMISSIÓNEM PECCATÓRUM. HOC FÁCITE IN MEAM COMMEMORATIÓNEM.;RECEVEZ ET BUVEZ EN TOUS : CECI EST LE CALICE DE MON SANG POUR LA NOUVELLE ET ETERNELLE ALLIANCE, QUI POUR VOUS ET LA MULTITUDE A ETE REPANDU EN REMISSION DES PECHE. FAITES CECI EN MEMOIRE DE MOI.;ACCÍPITE ET BÍBITE EX EO OMNES: HIC EST ENIM CALIX SÁNGUINIS MEI NOVI ET AETÉRNI TESTAMÉNTI, QUI PRO VOBIS ET PRO MULTIS EFFUNDÉTUR IN REMISSIÓNEM PECCATÓRUM. HOC FÁCITE IN MEAM COMMEMORATIÓNEM.;RECEVEZ ET BUVEZ EN TOUS : CECI EST LE CALICE DE MON SANG POUR LA NOUVELLE ET ETERNELLE ALLIANCE, QUI POUR VOUS ET LA MULTITUDE A ETE REPANDU EN REMISSION DES PECHE. FAITES CECI EN MEMOIRE DE MOI.;ACCÍPITE ET BÍBITE EX EO OMNES: HIC EST ENIM CALIX SÁNGUINIS MEI NOVI ET AETÉRNI TESTAMÉNTI, QUI PRO VOBIS ET PRO MULTIS EFFUNDÉTUR IN REMISSIÓNEM PECCATÓRUM. HOC FÁCITE IN MEAM COMMEMORATIÓNEM.;RECEVEZ ET BUVEZ EN TOUS : CECI EST LE CALICE DE MON SANG POUR LA NOUVELLE ET ETERNELLE ALLIANCE, QUI POUR VOUS ET LA MULTITUDE A ETE REPANDU EN REMISSION DES PECHE. FAITES CECI EN MEMOIRE DE MOI.
#ANAMNESE;;#ANAMNESE;;#ANAMNESE;;#ANAMNESE;
