Psalmus 111 (112);Psalmus 111 (112)
Viri iusti beatitudo;Béatitude de l’homme juste
"Ut filii lucis ambulate; fructus lucis est in omni bonitate et iustitia et veritate (Eph 5, 8-9).";Marchez comme des enfants de lumière. le fruit de la lumière consiste en tout ce qui est bon, juste et vrai. (Eph 5, 8-9).
;
Beátus vir, qui timet Dóminum, * in mandátis eius cupit nimis. ;Heureux l'homme qui craint le Seigneur, qui met toute sa joie à observer ses préceptes! 
  Potens in terra erit semen eius, * generátio rectórum benedicétur. ;Sa postérité sera puissante sur la terre, la race des justes sera bénie. 
  Glória et divítiæ in domo eius, * et iustítia eius manet in sæculum sæculi.;Il a dans sa maison bien-être et richesse, et sa justice subsiste à jamais. 
  Exórtum est in ténebris lumen rectis, * miséricors et miserátor et iustus. ;La lumière se lève dans les ténèbres pour les hommes droits, pour celui qui est miséricordieux, compatissant et juste. 
  Iucúndus homo, qui miserétur et cómmodat,  dispónet res suas in iudício, * quia in ætérnum non commovébitur.;"Heureux l'homme qui exerce la miséricorde et qui prête: en justice il fait prévaloir sa cause. Car il ne sera jamais ébranlé; "
  In memória ætérna erit iustus, * ab auditióne mala non timébit. ;"le juste laissera une mémoire éternelle. Il ne craint pas les funestes nouvelles; "
  Parátum cor eius, sperans in Dómino,  confirmátum est cor eius, non timébit, * donec despíciat inimícos suos. ;son coeur est ferme, confiant dans le Seigneur. Son coeur est inébranlable, il ne craint pas, jusqu'à ce qu'il voie ses ennemis abattus. 
"  Distríbuit, dedit paupéribus;  iustítia eius manet in sæculum sæculi, * cornu eius exaltábitur in glória.";"Il sème l'aumône, il donne à l'indigent; sa justice subsiste à jamais, sa corne s'élève avec gloire. "
  Peccátor vidébit et irascétur,  déntibus suis fremet et tabéscet. * Desidérium peccatórum períbit.;Le méchant le voit et s'irrite, il grince des dents et l'envie le consume: le désir des méchants périra.
