Psalmus 112 (113) ;Psaume 112 (113)
Laudabile nomen Domini;Que soit loué le nom du Seigneur
Deposuit potentes de sede et exaltavit humiles (Lc 1, 52).;Il dépose les puissants de leur trône et il exalte les humbles (Lc 1, 52).
;
Laudate, pueri Domini, * laudate nomen Domini.;Louez, serviteurs du Seigneur, louez le nom du Seigneur, 
Sit nomen Domini benedictum * ex hoc nunc et usque in saeculum.;Que le nom du Seigneur soit béni, dès maintenant et à jamais!
A solis ortu usque ad occasum * laudabile nomen Domini.;Du lever du soleil jusqu'à son couchant, loué soit le nom du Seigneur! 
Excelsus super omnes gentes Dominus * super caelos gloria eius.;le Seigneur est élevé au-dessus de toutes les nations, sa gloire est au-dessus des cieux. 
Quis sicut Dominus Deus noster, qui in altis habitat * et se inclinat, ut respiciat in caelum et in terram ?;Qui est semblable au Seigneur, notre Dieu? Il siège dans les hauteurs, et s’incline dans les cieux et sur la terre ?
Suscitans de terra inopem, * de stercore erigens pauperem,;Il relève le malheureux de la poussière, il retire le pauvre du fumier,
ut collocet eum cum principibus, * cum principibus populi sui.;pour les faire asseoir avec les princes, avec les princes de son peuple.
Qui habitare facit sterilem in domo, * matrem filiorum laetantem.;Il donne une demeure à la stérile de la maison, il en fait une mère joyeuse au milieu de ses enfants.
