II;II
Omnes gentes circuiérunt me, * et in nómine Dómini excídi eos. ;Toutes les nations m’entouraient : au nom du Seigneur, je les ai détruites.
Circumdántes circumdedérunt me, * et in nómine Dómini excídi eos. ;Elles m’entouraient elles me cernaient : au nom du Seigneur, le les ai détruites.
Circumdedérunt me sicut apes et exarsérunt sicut ignis in spinis, * et in nómine Dómini excídi eos.;"Elles m’entouraient comme une nuée d’abeilles ; elles ont crépité comme un feu d épines ; au nom du Seigneur, je les ai détrruites. "
Impelléntes impulérunt me, ut cáderem, * et Dóminus adiúvit me. ;"On me poussait de toutes part pour me faire tomber ; le Seigneur m’a recueilli."
Fortitúdo mea et laus mea Dóminus * et factus est mihi in salútem. ;Le Seigneur est ma force et mon chant, il s’est fait pour moi le salut.
Vox iubilatiónis et salútis * in tabernáculis iustórum:;Cris d’allegresse et de salut sous la tente des justes.
"«Déxtera Dómini fecit virtútem! + Déxtera Dómini exaltávit me; * déxtera Dómini fecit virtútem!».";"La droite du Seigneur a déployé sa puissance ; la droite du Seigneur m’a exalté ; la droite du Seigneur a déployé sa puissance."
Non móriar, sed vivam * et narrábo ópera Dómini.;Je ne mourrai pas, je vivrai pour raconter les œuvres du Seigneur.
Castígans castigávit me Dóminus * et morti non trádidit me.;Le Seigneur m’a sévèrement châtié, mais il ne m’a pas livré à la mort.
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
