Psalmus 118 (119), 65-72;Psaume 118 (119), 65-72
IX (Teth);IX (Teth)
;
;
Bonitátem fecísti cum servo tuo, Dómine, * secúndum verbum tuum.;Tu as usé de bonté envers ton serviteur, Le Seigneur, selon ta parole. 
Bonitátem et prudéntiam et sciéntiam doce me, * quia præcéptis tuis crédidi.;Enseigne-moi le sens droit et l'intelligence, car j'ai foi en tes commandements. 
"Priúsquam humiliárer ego errávi; * nunc autem elóquium tuum custódiam.";"Avant d'avoir été humilié, je m'égarais; maintenant, j'observe ta parole. "
Bonus es tu et benefáciens, * doce me iustificatiónes tuas.;Tu es bon et bienfaisant: enseigne-moi tes lois. 
Excogitavérunt contra me dolósa supérbi, * ego autem in toto corde meo servábo mandáta tua.;"Des orgueilleux imaginent contre moi des mensonges; moi, je garde de tout coeur tes ordonnances. "
Incrassátum est sicut adeps cor eórum, * ego vero in lege tua delectátus sum.;"Leur coeur est insensible comme la graisse; moi, je fais mes délices de ta loi. "
Bonum mihi quia humiliátus sum, * ut discam iustificatiónes tuas.;Il m'est bon d'avoir été humilié, afin que j'apprenne tes préceptes. 
Bonum mihi lex oris tui, * super mília auri et argénti.;"Mieux vaut pour moi la loi de ta bouche; que des monceaux d'or et d'argent. "
