Psalmus 118 (119), 33-40;Psalmus 118 (119), 33-40
V (He);V (He)


Legem pone mihi, Dómine, viam iustificatiónum tuárum, * et servábo eam semper. ;Enseigne-moi, le Seigneur, la voie de tes préceptes, afin que je la garde jusqu'à la fin de ma vie. 
Da mihi intelléctum, et servábo legem tuam * et custódiam illam in toto corde meo.;Donne-moi l'intelligence pour que je garde ta loi, et que je l'observe de tout mon coeur. 
Deduc me in sémitam præceptórum tuórum, * quia ipsam vólui.;Conduis-moi dans le sentier de tes commandements, car j'y trouve le bonheur. 
Inclína cor meum in testimónia tua * et non in avarítiam.;Incline mon coeur vers tes enseignements, et non vers le gain. 
"Avérte óculos meos, ne vídeant vanitátem; * in via tua vivífica me.";Détourne mes yeux pour qu'ils ne voient point la vanité, fais-moi vivre dans ta voie. 
Súscita servo tuo elóquium tuum, * quod est ad timórem tuum.;Accomplis envers ton serviteur ta promesse, que tu as faite à ceux qui te craignent. 
Amove oppróbrium meum, quod suspicátus sum, * quia iudícia tua iucúnda. ;Ecarte de moi l'opprobre que je redoute, car tes préceptes sont bons.
"Ecce concupívi mandáta tua; * in iustítia tua vivífica me.";Je désire ardemment pratiquer tes ordonnances: par ta justice, fais-moi vivre. 
