Psalmus 118 (119), 49-56;Psaume 118 (119), 49-56
VII (Zain);VII (Zain)


Memor esto verbi tui servo tuo, * in quo mihi spem dedísti.;Souviens-toi de la parole donnée à ton serviteur, sur laquelle tu fais reposer mon espérance. 
Hoc me consolátum est in humiliatióne mea, * quia elóquium tuum vivificávit me.;C'est ma consolation dans la misère, que ta parole me rende la vie.
"Supérbi derisérunt me veheménter; * a lege autem tua non declinávi.";Des orgueilleux me prodiguent leurs railleries: je ne m'écarte point de ta loi. 
Memor fui iudiciórum tuórum a sæculo, Dómine, * et consolátus sum.;Je pense à tes préceptes des temps passés, Seigneur, et je me console 
Indignátio ténuit me * propter peccatóres derelinquéntes legem tuam.;L'indignation me saisit à cause des méchants, qui abandonnent ta loi. 
Cántica factæ sunt mihi iustificatiónes tuæ * in loco peregrinatiónis meæ.;Tes lois sont le sujet de mes cantiques, dans le lieu de mon pèlerinage. 
Memor fui nocte nóminis tui, Dómine, * et custódiam legem tuam.;La nuit je me rappelle ton nom, le Seigneur, et j'observe ta loi. 
Hoc factum est mihi, * quia mandáta tua servávi.;Voici la part qui m'est donnée: je garde tes ordonnances. 
