Psalmus 118 (119), 57-64;Psaume 118 (119), 57-64
VIII (Heth);VIII (Heth)
;
Pórtio mea Dóminus: * dixi custodíre verba tua.;Ma part, le Seigneur, je le dis, c'est de garder tes paroles. 
"Deprecátus sum fáciem tuam in toto corde meo; * miserére mei secúndum elóquium tuum.";"Je t'implore de tout mon coeur; aie pitié de moi selon ta parole."
Cogitávi vias meas * et convérti pedes meos in testimónia tua.;Je réfléchis à mes voies, et je ramène mes pas vers tes enseignements. 
Festinávi et non sum morátus, * ut custódiam præcépta tua.;Je me hâte, je ne diffère point d'observer tes commandements. 
Funes peccatórum circumpléxi sunt me, * et legem tuam non sum oblítus.;Les pièges des méchants m'environnent, et je n'oublie point ta loi. 
Média nocte surgébam ad confiténdum tibi * super iudícia iustítiæ tuæ.;Au milieu de la nuit, je me lève pour te louer, à cause des jugements de ta justice. 
Párticeps ego sum ómnium timéntium te * et custodiéntium mandáta tua.;Je suis l'ami de tous ceux qui te craignent, et de ceux qui gardent tes ordonnances. 
"Misericórdia tua, Dómine, plena est terra; * iustificatiónes tuas doce me.";La terre est pleine de ta bonté, le Seigneur: enseigne-moi tes lois. 
