Psalmus 118 (119), 121-128 ;Psalmus 118 (119), 121-128 
XVI (Ain);XVI (Ain)
;
;
"Feci iudícium et iustítiam; * non tradas me calumniántibus me.";"J'ai accompli le droit et la justice; * ne me livre pas à ceux qui me calomnient."
"Sponde pro servo tuo in bonum; * non calumniéntur me supérbi.";"Prends ton serviteur sous ta garde pour son bien; * que les superbes cessent de me calomnier."
Oculi mei defecérunt in desidério salutáris tui * et elóquii iustítiæ tuæ.;Mes yeux languissent dans l'attente de ton salut, * et après les promesses de ta justice.
Fac cum servo tuo secúndum misericórdiam tuam * et iustificatiónes tuas doce me.;Traite ton serviteur selon ta miséricorde, * et enseigne-moi tes préceptes.
"Servus tuus sum ego; * da mihi intelléctum, ut sciam testimónia tua.";"Je suis ton serviteur; * donne-moi l'intelligence, afin que je connaisse tes témoignages."
Tempus faciéndi Dómino * dissipavérunt legem tuam.;"Il est temps que tu agisses, Seigneur; * ils ont renversé ta loi."
Ideo diléxi præcépta tua * super aurum et obryzum.;C'est pourquoi j'ai aimé tes commandements * plus que l'or et la topaze.
Proptérea ad ómnia mandáta tua dirigébar, * omnem viam mendácii ódio hábui.;"C'est pourquoi je me suis conformé à tous tes commandements; * j'ai haï toute voie injuste."
