"&nbsp;";
"&nbsp;";
"&nbsp;";
II;II
Deus, cánticum novum cantábo tibi, * in psaltério decachórdo psallam tibi,;"O Dieu, je te chanterai un cantique nouveau; * je te célébrerai sur la lyre à dix cordes."
qui das salútem régibus * qui rédimis David servum tuum de gládio malígno.;O toi qui procures le salut aux rois, * qui as sauvé David, ton serviteur, du glaive meurtrier.
Eripe me et líbera me * de manu filiórum alienigenárum,;Délivre-moi et retire-moi d'entre les mains des fils des étrangers,
quorum os locútum est vanitátem, * et déxtera eórum déxtera mendácii.; dont la bouche a proféré la vanité, * et dont la droite est une droite d'iniquité.
"Fílii nostri sicut novéllæ crescéntes * in iuventúte sua;";Nos fils sont comme de nouvelles plantes * dans leur jeunesse. 
fíliæ nostræ sicut colúmnæ anguláres, * sculptæ ut structúra templi.;Nos filles sont parées * et ornées à la manière d'un temple.
"Promptuária nostra plena, * redundántia ómnibus bonis;";Nos greniers sont remplis, * et débordent de l'un dans l'autre. 
oves nostræ in mílibus innumerábiles in campis nostris, * boves nostræ crassæ.;Nos brebis sont fécondes * et innombrables quand elles vont dans nos pâturages.Leurs génisses sont grasses.
Non est ruína macériæ neque egréssus, * neque clamor in platéis nostris.;Il n'y a pas de brèche ni d'ouverture dans nos murailles, * et jamais un cri sur nos places publiques.
"Beátus pópulus, cui hæc sunt; * beátus pópulus, cuius Dóminus Deus eius.";"Heureux le peuple qui jouit de ces biens; * heureux le peuple qui a le Seigneur pour son Dieu."
