Psalmus 15 (16);Psaume 15 (16)
Dominus pars hereditatis meæ;Le Seigneur est ma part d’héritage
Deus suscitavit Iesum solutis doloribus mortis (Act 2, 24).;Dieu a ressucité Jésus, en le délivrant des douleurs de la mort (Act 2, 24).

Consérva me, Deus, * quóniam sperávi in te.;Garde-moi ô Dieu, car près de toi je me réfugie 
Dixi Dómino: «Dóminus meus es tu, * bonum mihi non est sine te».;"Je dis au Seigneur : "" Tu es mon Seigneur, toi seul es mon bien. "" "
In sanctos, qui sunt in terra, ínclitos viros, * omnis volúntas mea in eos.;Les saints qui sont dans le pays, ces illustres, sont l'objet de toute mon affection. 
Multiplicántur dolóres eórum, * qui post deos aliénos acceleravérunt.;"On multiplie les idoles, on court après 1es dieux étrangers ;"
Non effúndam libatiónes eórum de sanguínibus, * neque assúmam nómina eórum in lábiis meis.; je ne répandrai point leurs libations de sang, je ne mettrai pas leurs noms sur mes lèvres. 
Dóminus pars hereditátis meæ et cálicis mei: * tu es qui détines sortem meam.;le Seigneur est la part de mon héritage et de ma coupe, c'est toi qui m'assures mon lot. 
"Funes cecidérunt mihi in præcláris; * ínsuper et heréditas mea speciósa est mihi.";"Le cordeau a mesuré pour moi une portion délicieuse ; oui, un splendide héritage m'est échu. "
"Benedícam Dóminum, qui tríbuit mihi intelléctum; * ínsuper et in nóctibus erudiérunt me renes mei.";"Je bénis le Seigneur qui m'a conseillé; la nuit même, mes reins m'avertissent."
"Proponébam Dóminum in conspéctu meo semper; * quóniam a dextris est mihi non commovébor.";Je mets le Seigneur constamment sous mes yeux, car il est à ma droite : je ne chancellerai point. 
"Propter hoc lætátum est cor meum, et exsultavérunt præcórdia mea; * ínsuper et caro mea requiéscet in spe.";Aussi mon coeur est dans la joie, mon âme dans l'allégresse, mon corps lui-même repose en sécurité. 
Quóniam non derelínques ánimam meam in inférno, * nec dabis sanctum tuum vidére corruptiónem.;Car tu ne livreras pas mon âme au schéol, tu ne permettras pas que celui qui t'aime voie la corruption. 
Notas mihi fácies vias vitæ, plenitúdinem lætítiæ cum vultu tuo, * delectatiónes in déxtera tua usque in finem.;"Tu me feras connaître le sentier de la vie ; il y a plénitude de joie devant ta face, des délices éternels dans ta droite. "
