Psalmus 24 (25);Psaume 24 (25)
Imploratio veniæ et salutis;Imploration pour la venue et le salut
Spes non confundit (Rom 5, 5).;L’espérance ne confond pas (Rom 5, 5).
I;I
Ad te, Dómine, levávi ánimam meam, * Deus meus, in te confído: non erubéscam. ;Vers toi, le Seigneur, j'élève mon âme, mon Dieu. En toi je me confie : que je n'aie pas de confusion !
Neque exsúltent super me inimíci mei, * étenim univérsi, qui sústinent te, non confundéntur. ; Que mes ennemis ne se réjouissent pas à mon sujet !
Confundántur infidéliter agéntes * propter vanitátem.;"Non, aucun de ceux qui espèrent en toi ne sera confondu ;ceux là seront confondus qui sont infidèles sans cause. "
Vias tuas, Dómine, demónstra mihi * et sémitas tuas édoce me. ;Seigneur, fais-moi connaître tes voies, enseigne-moi tes sentiers. 
Dírige me in veritáte tua et doce me, quia tu es Deus salútis meæ, * et te sustínui tota die.;"Conduis-moi dans ta vérité, et instruis-moi, car tu es le Dieu de mon salut; tout le jour en toi j'espère. "
Reminíscere miseratiónum tuárum, Dómine, * et misericordiárum tuárum, quóniam a sæculo sunt. ;Souviens-toi de ta miséricorde, le Seigneur, et de ta bonté car elles sont éternelles. 
"Peccáta iuventútis meæ et delícta mea ne memíneris; secúndum misericórdiam tuam meménto mei tu, * propter bonitátem tuam, Dómine.";"Ne te souviens pas des péchés de ma jeunesse ni de mes transgressions; souviens-toi de moi selon ta miséricorde, à cause de ta bonté, ô Seigneur, "
"Dulcis et rectus Dóminus, * propter hoc peccatóres viam docébit;";"le Seigneur est bon et droit; c'est pourquoi il indique aux pécheurs la voie. "
díriget mansuétos in iudício, * docébit mites vias suas.;Il fait marcher les humbles dans la justice, il enseigne aux humbles sa voie. 
Univérsæ viæ Dómini misericórdia et véritas * custodiéntibus testaméntum eius et testimónia eius.;Tous les sentiers du Seigneur sont miséricorde et fidélité, pour ceux qui gardent son alliance et ses commandements. 
Propter nomen tuum, Dómine, propitiáberis peccáto meo: * multum est enim.;A cause de ton nom, le Seigneur, tu pardonneras mon iniquité, car elle est grande. 
