Psalmus 71 (72);Psalmus 71 (72)
Regia Messiæ potestaste;Le pouvoir royal du Messie
Apertis thesauris suis, obtulerunt ei munera, aurum et tus et myrrham (Mt 2, 11).;Ouvrant leurs coffrets, les mages lui offrirent en présent de l’or, de l’encens et de la myrrhe
I;I
"Deus, iudícium tuum regi da * et iustítiam tuam fílio regis;";O Dieu, donne tes jugements au roi, et ta justice au fils du roi. 
iúdicet pópulum tuum in iustítia * et páuperes tuos in iudício.;Qu'il dirige ton peuple avec justice, et tes malheureux avec équité ! 
Afferant montes pacem pópulo, * et colles iustítiam.;Que les montagnes produisent la paix au peuple, ainsi que les collines, par 1a justice. 
Iudicábit páuperes pópuli et salvos fáciet fílios ínopis * et humiliábit calumniatórem.;Qu'il fasse droit aux malheureux de son peuple, qu'il assiste les enfants du pauvre, et qu'il écrase l'oppresseur ! 
Et permanébit cum sole et ante lunam, * in generatióne et generatiónem.;Qu'on te révère, tant que subsistera le soleil, tant que brillera la lune, d'âge en âge ! 
Descéndet sicut plúvia in gramen * et sicut imber írrigans terram.;Qu'il descende comme la pluie sur le gazon, comme les ondées qui arrosent la terre ! 
Florébit in diébus eius iustítia et abundántia pacis, * donec auferátur luna.;Qu'en ses jours le juste fleurisse, avec l'abondance de la paix, jusqu'à ce qu'il n'y ait plus de lune 
Et dominábitur a mari usque ad mare * et a Flúmine usque ad términos orbis terrárum.;Il dominera d'une mer à l'autre, du Fleuve aux extrémités de la terre.
Coram illo prócident íncolæ desérti, * et inimíci eius terram lingent.;Devant lui se prosterneront les habitants du désert, et ses ennemis mordront la poussière. 
Reges Tharsis et ínsulæ múnera ófferent, * reges Arabum et Saba dona addúcent.;"Les rois de Tharsis et les îles lui offriront des présents; * les rois d'Arabie et de Saba apporteront des dons"
Et adorábunt eum omnes reges, * omnes gentes sérvient ei.;"Tous les rois se prosterneront devant lui ; toutes les nations le serviront. "
