jour;Die 22 februarii;Le 22 février
intitule;CATHEDRÆ S. PETRI APOSTOLI;CHAIRE DE S. PIERRE APÔTRE
rang;Festum;Fête
HYMNUS_laudes;hy_Petrus beátus catenárum láqueos;
ant1;"Dixit Dóminus Simóni: Noli timére; ex hoc iam hómines eris cápiens.";"Le Seigneur dit à Simon : ""Ne crains point; désormais ce sont des hommes que tu prendras."""
ps1;ps62;
ant2;Tu es Christus, Fílius Dei vivi. Et tu beátus es, Simon Petre.;Tu es le Christ, le Fils du Dieu vivant. Heureux es-tu, Simon-Pierre.
ps2;AT41;
ant3;Dixit Dóminus Petro: Tibi dabo claves regni cælórum.;Le Seigneur dit à Pierre : je te donnerai les clefs du royaume des cieux.
ps3;ps149;
LB_matin;LB_Act 15, 7b-9;
RB_matin;"R/. Constítues eos príncipes * Super omnem terram. Constítues.
V/. Mémores erunt nóminis tui, Dómine. * Super omnem terram. Glória Patri. Constítues.";"R/. Tu en feras les chefs * de toute la terre. Tu en feras.
V/. Ils garderont le souvenir de ton nom, Seigneur * De toute. Gloire au Père. Tu en feras."
benedictus;Dixit Dóminus Simóni Petro: Ego pro te rogávi, ut non defíciat fides tua. Et tu, aliquándo convérsus, confírma fratres tuos.;"Le Seigneur dit à Simon-Pierre : J'ai prié pour toi, afin que ta foi ne défaille point; et toi, quand tu seras revenu, affermis tes frères. "
preces_matin;preces_V;
oratio;Præsta, quæsumus, omnípotens Deus, ut nullis nos permíttas perturbatiónibus cóncuti, quos in apostólicæ confessiónis petra solidásti. Per Dóminum.;Fais-nous la grâce, ô Dieu tout puisant, de n'être ébranlés par aucune agitation, puisque tu nous as affermi sur le roc de la confession apostolique.
LB_3;LB_Is 22, 22;
RB_3;"V/. In omnem terram exívit sonus eórum.
R/. Et in fines orbis terræ verba eórum.";"V/. Toute la terre a fait écho à leur voix.
R/. Et leur parole a retenti jusqu'aux extrémités du monde."
LB_6;LB_1 Petr 5, 1-2a;
RB_6;"V/. Custodiébant testimónia Dei.
R/. Et præcépta eius.";"V/. Ils gardaient le témoignage dvin.
R/. Et ses commandements."
LB_9;LB_2 Petr 1, 16;
RB_9;"V/. Gaudéte et exsultáte, dicit Dóminus.
R/. Quia nómina vestra scripta sunt in cælis.";"V/. Réjouissez-vous et exsultez, dit le Seigneur.
R/. Car vos noms sont inscrits dans les cieux."
HYMNUS_vepres;hy_Divína vox te déligit;
ant7;Petre, amas me? Tu scis, Dómine, quia amo te. Pasce oves meas.;Pierre, m'aimes-tu ? Tu sais, Seigneur que je t'aime. Pais mes brebis.
ps7;ps115;
ant8;Petrus servabátur in cárcere, et orátio fiébat pro eo sine intermissióne ab Ecclésia ad Deum.;Pierre était gardé en prison, tandis que l'Eglise sans cesse priait Dieu pour lui.
ps8;ps125;
ant9;Tu es Petrus, et super hanc petram ædificábo Ecclésiam meam.;Tu es Pierre, et sur cette pierre d'édifierai mon Eglise.
ps9;NT4;
LB_soir;LB_1 Petr 1, 3-5;
RB_soir;"R/. Annuntiáte inter gentes * Glóriam Dómini. Annuntiáte.
V/. In ómnibus pópulis mirabília eius. * Glóriam Dómini. Glória Patri. Annuntiáte.";"R/. Annoncez parmi les nations * la gloire du Seigneur. Annoncez.
V/. Parmi tous les peuples ses merveilles. * La gloire du Seigneur. Gloire au Père. Annoncez."
magnificat;"Tu es pastor óvium, princeps Apostolórum; tibi tráditæ sunt claves regni cælórum.";Tu es le pasteur des brebis, ô Prince des Apôtres. C'est pourquoi les clefs du royaume des cieux t'ont été données.
preces_soir;preces_VI;
