jour;Die 31 iulii;Le 31 juillet
intitule;S. IGNATII DE LOYOLA, PRESBYTERI;S. IGNACE DE LOYOLA, PRETRE
rang;Memoria;Mémoire
ant_invit;Mirábilem Deum in sanctis suis, veníte adorémus.;Les merveilles de Dieu dans ses saints, venez adorons.
HYMNUS_laudes;hy_Magnæ cohórtis príncipem;
LB_matin;LB_Rom 12, 1-2;
RB_matin;"R/. Lex Dei eius * In corde ipsíus. Lex. 
V/. Et non supplantabúntur gressus eius. * In corde ipsíus. Glória Patri. Lex.";"R/. La loi de son Dieu * est dans son cœur. La loi.
V/. Et ses pas ne chancellent point. * dans son coeur. Gloire au Père. La loi."
benedictus;Utinam possim cognóscere Christum et virtútem resurrectiónis eius et societátem passiónum illíus!;
oratio;Deus, qui, ad maiórem tui nóminis glóriam propagándam, beátum Ignátium in Ecclésia tua suscitásti, concéde, ut, eius auxílio et imitatióne certántes in terris, coronári cum ipso mereámur in cælis. Per Dóminum.;Dieu, qui pour propager et accroître la grande gloire de ton nom, tu as sucité le bienheureux Ignace dans ton Eglise, donne-nous de combattre sur terre, avec son aide et à son exemple, afin de mériter d'être couronnés avec lui dans le ciel.
HYMNUS_vepres;hy_Magnæ cohórtis príncipem;
LB_soir;LB_Rom 8, 28-30;
RB_soir;"R/. Iustus Dóminus, * Et iustítiam diléxit. Iustus. 
V/. Æquitátem vidit vultus eius. * Et iustítiam diléxit. Glória Patri. Iustus.";"R/. Le Seigneur est juste, * et il aime la justice. Le Seigneur.
V/. L'équité est vue sur son visage. * Et il aime la justice. Gloire au Père. Le Seigneur."
magnificat;Quid prodest hómini si mundum univérsum lucrétur, ánimæ vero suæ detriméntum patiátur?;
