HYMNUS_laudes;hy_En acétum, fel, arúndo;;
ant1;"Ait Iesus: Tristis est ánima mea usque ad mortem; sustinéte hic et vigiláte mecum.";"Jésus dit : Mon âme est triste jusqu'à la mort; restez ici et veillez avec moi.";Mt 26,38
ant2;Nunc iudícium est mundi, nunc princeps huius mundi eiciétur foras.;"C'est maintenant le jugement de ce monde; c'est maintenant que le Prince de ce monde va être jeté dehors. ";Jn 12,31
ant3;Auctor fídei nostræ et consummátor Iesus sustínuit crucem, confusióne contémpta, atque in déxtera Dei sedet.;L'auteur et le consommateur de la foi, Jésus, méprisant l'ignominie, a souffert en croix, et s'est assis à la droite du trône de Dieu.;Hbr 12,2
LB_matin;LB_Ier 11, 19-20;;
RB_matin;"R/. Redemísti nos, Dómine, * In sánguine tuo. Redemísti. 
V/. Ex omni tribu et lingua et pópulo et natióne.* In sánguine tuo. Glória Patri. Redemísti.";"R/. Rachète-nous, Seigneur, * dans ton sang.Rachète. 
V/. De toute tribu, langue et nation.* Dans ton sang. Gloire au Père. Rachète.";
benedictus;"Pater iuste, mundus te non cognóvit; ego autem novi te, quia tu me misísti.";Père juste, le monde ne t'a pas connu, mais moi, je t'ai connu, et ceux-ci ont connu que c'est toi qui m'as envoyé. ;Jn 17,25
preces_matin;preces_IX;;
oratio_laudes;Da, quæsumus, omnípotens Deus, ut, qui ex nostra infirmitáte defícimus, intercedénte unigéniti Fílii tui passióne, respirémus. Qui tecum.;"Dieu tout-puissant , notre faiblesse succombe parmi tant d'adversités ; donne-nous, nous t'en supplions, quelque repos, par les mérites de la passion de ton Fils unique.";
HYMNUS_tertiam;hy_Celsæ salútis gáudia;;
HYMNUS_sextam;hy_Celsæ salútis gáudia;;
HYMNUS_nonam;hy_Celsæ salútis gáudia;;
ant4;Ante diem festum Paschæ, sciens Iesus quia venit hora eius, cum dilexísset suos, in finem diléxit eos.;Avant la fête de Pâque, Jésus, sachant que son heure était venue, après avoir aimé les siens, les aima jusqu'à la fin. ;Jn 13,1
ant5;Sicut novit me Pater, et ego agnósco Patrem, et ánimam meam pono pro óvibus meis.;Comme mon Père me connaît, et que je connais mon Père, et je donne ma vie pour mes brebis. ;Jn 10,15
ant6;"Mihi vívere Christus est, et mori lucrum; gloriári me opórtet in cruce Dómini mei Iesu Christi.";Pour moi, vivre c'est le Christ, et la mort m'est un gain. Je me glorifie dans la croix de mon Seigneur Jésus- Christ, ;Phlp 1,21, Gal 6,14
LB_3;LB_Ez 33, 10b. 11a;;
RB_3;"V/. Oblátus est, quia ipse vóluit. 
R/. Et non apéruit os suum.";"V/. Maltraité, il s'humilie.
R/. Et lui n'ouvre pas la bouche.";
oratio_3;Da, quæsumus, omnípotens Deus, ut, qui ex nostra infirmitáte defícimus, intercedénte unigéniti Fílii tui passióne, respirémus. Qui tecum.;"Dieu tout-puissant , notre faiblesse succombe parmi tant d'adversités ; donne-nous, nous t'en supplions, quelque repos, par les mérites de la passion de ton Fils unique.";
LB_6;LB_Ier 18, 20b;;
RB_6;"V/. Vere languóres nostros ipse tulit. 
R/. Et iniquitátes nostras ipse portávit.";"V/. Vraiment c'était nos maladies qu'il portait,
R/. Et nos iniquités dont il s'était chargé.";
oratio_6;Da, quæsumus, omnípotens Deus, ut, qui ex nostra infirmitáte defícimus, intercedénte unigéniti Fílii tui passióne, respirémus. Qui tecum.;"Dieu tout-puissant , notre faiblesse succombe parmi tant d'adversités ; donne-nous, nous t'en supplions, quelque repos, par les mérites de la passion de ton Fils unique.";
LB_9;LB_1 Petr 5, 10-11;;
RB_9;"V/. Adorémus crucis signáculum. 
R/. Per quod salútis súmpsimus sacraméntum.";"V/. Adorons le sceau de la croix. 
R/. Par le mystère duquel nous obtenons le salut.";
oratio_9;Da, quæsumus, omnípotens Deus, ut, qui ex nostra infirmitáte defícimus, intercedénte unigéniti Fílii tui passióne, respirémus. Qui tecum.;"Dieu tout-puissant , notre faiblesse succombe parmi tant d'adversités ; donne-nous, nous t'en supplions, quelque repos, par les mérites de la passion de ton Fils unique.";
HYMNUS_vesperas;hy_Vexílla regis pródeunt;;
ant7;"Non est ei spécies neque decor; et vídimus eum, et non erat aspéctus.";il n'avait ni forme ni beauté pour attirer nos regards, ni apparence pour exciter notre amour. ;Is 53,2
ant8;Dispértiam ei plúrimos, pro eo quod trádidit in mortem ánimam suam.;"Je lui donnerai sa part parmi les grands; parce qu'il a livré son âme à la mort.";Is 53,12
ant9;Gratificávit nos Deus in dilécto Fílio suo, in quo habémus redemptiónem per sánguinem eius.;Dieu nous a rendus agréables à ses yeux en son Fils bien-aimé, en qui nous avons la rédemption acquise par son sang,;Eph 1,7
LB_soir;LB_Rom 5, 8-9;;
RB_soir;"R/. Adorámus te, Christe, * Et benedícimus tibi. Adorámus. 
V/. Quia per crucem tuam redemísti mundum. *Et benedícimus tibi. Glória Patri. Adorámus.";"R/. Nous t'adorons, ô Christ * Et nous te bénissons. Nous t'adorons. 
V/. Car par ta croix tu a racheté le monde. * Et nous te bénissons. Gloire au Père. Nous t'adorons.";
magnificat;Sicut Móyses exaltávit serpéntem in desérto, ita exaltári opórtet Fílium hóminis, ut omnis qui credit in ipsum non péreat, sed hábeat vitam ætérnam.;Comme Moïse a élevé le serpent dans le désert, il faut de même que le Fils de l'homme soit élevé, afin que tout homme qui croit en lui ne périsse point, mais qu'il ait a vie éternelle.;Jn 3,14-15
oratio_vesperas;Da, quæsumus, omnípotens Deus, ut, qui ex nostra infirmitáte defícimus, intercedénte unigéniti Fílii tui passióne, respirémus. Qui tecum.;"Dieu tout-puissant , notre faiblesse succombe parmi tant d'adversités ; donne-nous, nous t'en supplions, quelque repos, par les mérites de la passion de ton Fils unique.";
preces_soir;preces_X
