HYMNUS_laudes;hy_Aurora lucis rutilat;;
ant1;Surréxit Christus et illúxit pópulo suo, quem redémit sánguine suo, allelúia.;Le Christ est ressucité et s'est mis à briller sur son peuple, qu'il a racheté par son sang, alléluia.;
ant2;Redémptor noster surréxit de sepúlcro: hymnum dicámus Dómino Deo nostro, allelúia.;Notre Rédempteur s'est levé du tombeau, nous dédions cette hymne au Seigneur notre Dieu, alléluia.;
ant3;Allelúia, resurréxit Dóminus sicut dixit vobis, allelúia.;Alléluia, le Seigneur est ressucité comme Il vous l'avait dit, alléluia.;
LB_matin;LB_Act 5, 30-32;;
RB_matin;Hæc dies quam fecit Dóminus: exsultémus et lætémur in ea, allelúia.;R/.Voici le jour que fit le Seigneur,exultons et soyons dans sa joie, alléluia;
benedictus;Hoc iam tértio manifestávit se Iesus discípulis suis, postquam resurréxit a mórtuis, allelúia.;C'était la troisième fois que Jésus se manifestait à ses disciples, après qu'il soit ressucité des morts, alléluia.;
preces_matin;preces_XVII;;
oratio_laudes;Omnípotens sempitérne Deus, qui paschále sacraméntum in reconciliatiónis humánæ foedere contulísti, da méntibus nostris, ut, quod professióne celebrámus, imitémur efféctu. Per Dóminum.;"Dieu tout-puissant et éternel, qui par le mystère de la Pâque as formé un pacte de réconciliation avec l’humanité ; accorde-nous de reproduire dans nos actions les vérités que nous professons en cette fête. ";
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Christus surréxit a mórtuis, iam non móritur, allelúia.;Le Christ est ressucité d'entre les morts, à l'instant il ne meurt pas, alléluia.;
ant5;Tráditus est propter delícta nostra, et resurréxit propter iustificatiónem nostram, allelúia.;Il a été livré pour nos offenses, et est ressuscité pour notre justification, alléluia.;Rom IV 25
ant6;Si consurrexístis cum Christo, quæ sursum sunt quærite, allelúia.;Si vous êtes ressuscités avec le Christ, recherchez les choses d'en haut, alléluia.;Col III 1
LB_3;LB_Act 2, 32. 36;;
RB_3;"V/. Hæc dies quam fecit Dóminus, allelúia. 
R/. Exsultémus et lætémur in ea, allelúia.";"V/. Voici le jour que fit le Seigneur, alléluia.
R/. Exultons et soyons dans la joie, alléluia.";
oratio_3;Omnípotens sempitérne Deus, qui paschále sacraméntum in reconciliatiónis humánæ foedere contulísti, da méntibus nostris, ut, quod professióne celebrámus, imitémur efféctu. Per Dóminum.;"Dieu tout-puissant et éternel, qui par le mystère de la Pâque as formé un pacte de réconciliation avec l’humanité ; accorde-nous de reproduire dans nos actions les vérités que nous professons en cette fête. ";
LB_6;LB_Gal 3, 27-28;;
RB_6;"V/. Hæc dies quam fecit Dóminus, allelúia. 
R/. Exsultémus et lætémur in ea, allelúia.";"V/. Voici le jour que fit le Seigneur, alléluia.
R/. Exultons et soyons dans la joie, alléluia.";
oratio_6;Omnípotens sempitérne Deus, qui paschále sacraméntum in reconciliatiónis humánæ foedere contulísti, da méntibus nostris, ut, quod professióne celebrámus, imitémur efféctu. Per Dóminum.;"Dieu tout-puissant et éternel, qui par le mystère de la Pâque as formé un pacte de réconciliation avec l’humanité ; accorde-nous de reproduire dans nos actions les vérités que nous professons en cette fête. ";
LB_9;LB_1 Cor 5, 7-8;;
RB_9;"V/. Hæc dies quam fecit Dóminus, allelúia. 
R/. Exsultémus et lætémur in ea, allelúia.";"V/. Voici le jour que fit le Seigneur, alléluia.
R/. Exultons et soyons dans la joie, alléluia.";
oratio_9;Omnípotens sempitérne Deus, qui paschále sacraméntum in reconciliatiónis humánæ foedere contulísti, da méntibus nostris, ut, quod professióne celebrámus, imitémur efféctu. Per Dóminum.;"Dieu tout-puissant et éternel, qui par le mystère de la Pâque as formé un pacte de réconciliation avec l’humanité ; accorde-nous de reproduire dans nos actions les vérités que nous professons en cette fête. ";
HYMNUS_vesperas;hy_Ad cenam Agni próvidi;;
ant7;Venérunt ad monuméntum María Magdaléne et áltera María vidére sepúlcrum, allelúia.;Marie-Madeleine et l'autre Marie, allèrent au tombeau pour voir le sépulcre, alléluia.;
ant8;Veníte, et vidéte locum ubi pósitus erat Dóminus, allelúia.;Venez, et voyez l'endroit où était posé le Seigneur, alléluia.;
ant9;"Ait Iesus: Nolíte timére; ite, nuntiáte frátribus meis ut eant in Galilæam; ibi me vidébitis, allelúia.";"Jésus dit : n'ayez pas peur ; allez, annoncez à mes frères que je les attends en Galilée, ils me verront là bas, alléluia.";
LB_soir;LB_Hebr 5, 8-10;;
RB_soir;Hæc dies quam fecit Dóminus: exsultémus et lætémur in ea, allelúia.;R/. Voici le jour que fit le Seigneur, exultons et soyons dans sa joie, alléluia.;
magnificat;Dixit discípulus ille, quem diligébat Iesus: Dóminus est, allelúia.;Le disciple que Jésus aimit dit : voici le Seigneur, alléluia.;Jn 21,7.
oratio_vesperas;Omnípotens sempitérne Deus, qui paschále sacraméntum in reconciliatiónis humánæ foedere contulísti, da méntibus nostris, ut, quod professióne celebrámus, imitémur efféctu. Per Dóminum.;"Dieu tout-puissant et éternel, qui par le mystère de la Pâque as formé un pacte de réconciliation avec l’humanité ; accorde-nous de reproduire dans nos actions les vérités que nous professons en cette fête. ";
preces_soir;preces_XVIII
