HYMNUS_laudes;hy_Aurora lucis rutilat;;
ant1;Dóminus regnávit, decórem indútus est, allelúia.;Le Seigneur est roi, il est revêtu de majesté, alléluia.;Ps XCIII 1
ant2;Liberábitur creatúra in libertátem glóriæ filiórum Dei, allelúia.;La Création sera affranchie pour avoir part à la liberté glorieuse des enfants de Dieu, alléluia.;Rom VIII 21
ant3;Exaltátum est nomen Dómini super cælum et terram, allelúia.;Le nom du Seigneur est grand au-dessus du ciel et de la terre, alléluia.;Ps CXLVIII 13
LB_matin;LB_ap10.40-43;;
RB_matin;"R/. Christe, Fili Dei vivi, miserére nobis,* Allelúia, allelúia. Christe. 
V/. Qui surrexísti a mórtuis. *Allelúia, allelúia. Glória Patri. Christe.";"R/. O Christ, Fils du Dieu vivant, aie pitié de nous,* Alléluia, alléluia. O Christ. 
V/. Toi qui est ressucité des morts. *Alléluia, alléluia. Gloire au Père. O Christ.";
benedictus;<i>Antiphona propria.</i>;<i>Antienne propre</i>;
oratio_laudes;<i>Oratio propria</i>;<i>Oraison propre</i>;
preces_matin;preces_II;;
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant5;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant6;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
LB_3;LB_1 Cor 15, 3b-5;;
RB_3;"V/. Surréxit Dóminus vere, allelúia. 
R/. Et appáruit Simóni, allelúia.";"V/. Le Seigneur est vraiment ressuscité, alléluia.
R/. Et il est apparu à Simon, alléluia.";Luc XXIV 34
oratio_3;;;
LB_6;LB_Eph 2, 4-6;;
RB_6;"V/. Gavísi sunt discípuli, allelúia. 
R/. Viso Dómino, allelúia.";"V/. Les disciples furent remplis de joie, alléluia.
R/. En voyant le  Seigneur, alléluia.";Jean XX 20
oratio_6;;;
LB_9;LB_Rom 6, 4;;
RB_9;"V/. Mane nobíscum, Dómine, allelúia. 
R/. Quóniam advesperáscit, allelúia.";"V/. Reste avec nous, Seigneur, alléluia.
R/. Car le soir tombe, alléluia.";Luc XXIV 29
oratio_9;;;
HYMNUS_vesperas;hy_Ad cenam Agni próvidi;;
ant7;Purgatiónem peccatórum fáciens, sedet ad déxteram maiestátis in excélsis, allelúia.;Ayant réalisé la purification des pécheurs, il s'assied à la droite de la majesté, sans les cieux, alléluia.;
ant8;Redemptiónem misit Dóminus pópulo suo, allelúia.;Le Seigneur a envoyé la délivrance à son peuple, alléluia.;Ps CXI 9
ant9;"Allelúia, regnávit Dóminus noster; exsultémus et demus glóriam ei, allelúia.";Alléluia, il règne, le Seigneur notre Dieu, tressaillons d'allégresse et rendons-lui gloire, alléluia.;Ap XIX 6-7
LB_soir;LB_Hebr 10, 12-14;;
RB_soir;"R/. Surréxit Dóminus vere, *Allelúia, allelúia. Surréxit. 
V/. Et appáruit Simóni. * Allelúia, allelúia. Glória Patri. Surréxit.";"R/. Le Seigneur est vraiment ressucité, *Alléluia, alléluia. Le Seigneur. 
V/. Et il est apparu à Simon. * Alléluia, alléluia. Gloire au Père. Le Seigneur.";
magnificat;<i>Antiphona propria.</i>;<i>Antienne propre</i>;
oratio_vesperas;<i>Oratio propria</i>;<i>Oraison propre</i>;
preces_soir;preces_III
