HYMNUS_laudes;hy_Aurora lucis rutilat;;
ant1;Gloriabúntur in te omnes qui díligunt nomen tuum, allelúia.;Ils se livreront à de joyeux transports tous ceux qui aiment ton nom, alléluia.;Ps V 12
ant2;Tuum, Dómine, regnum, et tu es super omnes príncipes, allelúia.;Toi, Seigneur, Tu règnes et Tu es au-dessus de tous les princes, alléluia.;
ant3;Sedébit Dóminus rex in ætérnum, allelúia.;Le Seigneur siège sur son trône, roi pour l'éternité, alléluia.;Ps XXIX 10
LB_matin;LB_Rom 10, 8b-10;;
RB_matin;"R/. Surréxit Dóminus de sepúlcro,* Allelúia, allelúia. Surréxit. 
V/. Qui pro nobis pepéndit in ligno. *Allelúia, allelúia. Glória Patri. Surréxit.";"R/. Le Seigneur s'est relevé du tombeau,* Alléluia, alléluia. Le Seigneur.
V/. Lui qui pour nous a pendu sur le bois. *Alléluia, alléluia. Gloire au Père. Le Seigneur.";
benedictus;"Qui díligit me, diligétur a Patre meo; et ego díligam eum, et manifestábo ei meípsum, allelúia.";"Celui qui m'aime sera aimé  de mon Père; et moi je l'aimerai et je me manifesterai à lui, alléluia.";Jn XIV 21
preces_matin;preces_IX;;
oratio_laudes;Deus, qui fidélium mentes uníus éfficis voluntátis, da pópulis tuis id amáre quod præcipis, id desideráre quod promíttis, ut, inter mundánas varietátes, ibi nostra fixa sint corda, ubi vera sunt gáudia. Per Dóminum.;Ô Dieu, qui fais des esprits de tes fidèles les esprits d’une unique volonté, donne à tes peuples d’aimer ce que tu prescris et de désirer ce que tu promets, afin que, parmi les changements du monde, nos cœurs soient attachés là où sont les joies véritables.;
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant5;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant6;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
LB_3;LB_Ap 1, 17c-18;;
RB_3;"V/. Surréxit Dóminus vere, allelúia. 
R/. Et appáruit Simóni, allelúia.";"V/. Le Seigneur est vraiment ressuscité, alléluia. 
R/. Et il est apparu à Simon, alléluia.";Luc XXIV 34
oratio_3;Deus, qui fidélium mentes uníus éfficis voluntátis, da pópulis tuis id amáre quod præcipis, id desideráre quod promíttis, ut, inter mundánas varietátes, ibi nostra fixa sint corda, ubi vera sunt gáudia. Per Dóminum.;Ô Dieu, qui fais des esprits de tes fidèles les esprits d’une unique volonté, donne à tes peuples d’aimer ce que tu prescris et de désirer ce que tu promets, afin que, parmi les changements du monde, nos cœurs soient attachés là où sont les joies véritables.;
LB_6;LB_Col 2, 9. 10a. 12;;
RB_6;"V/. Gavísi sunt discípuli, allelúia. 
R/. Viso Dómino, allelúia.";"V/. Les disciples furent remplis de joie, alléluia. 
R/. En voyant le  Seigneur, alléluia.";Jn XX 20
oratio_6;Deus, qui fidélium mentes uníus éfficis voluntátis, da pópulis tuis id amáre quod præcipis, id desideráre quod promíttis, ut, inter mundánas varietátes, ibi nostra fixa sint corda, ubi vera sunt gáudia. Per Dóminum.;Ô Dieu, qui fais des esprits de tes fidèles les esprits d’une unique volonté, donne à tes peuples d’aimer ce que tu prescris et de désirer ce que tu promets, afin que, parmi les changements du monde, nos cœurs soient attachés là où sont les joies véritables.;
LB_9;LB_2 Tim 2, 8. 11;;
RB_9;"V/. Mane nobíscum, Dómine, allelúia. 
R/. Quóniam advesperáscit, allelúia.";"V/. Reste avec nous, Seigneur, allelúia. 
R/. Car le soir tombe, alléluia.";Luc XXIV 29
oratio_9;Deus, qui fidélium mentes uníus éfficis voluntátis, da pópulis tuis id amáre quod præcipis, id desideráre quod promíttis, ut, inter mundánas varietátes, ibi nostra fixa sint corda, ubi vera sunt gáudia. Per Dóminum.;Ô Dieu, qui fais des esprits de tes fidèles les esprits d’une unique volonté, donne à tes peuples d’aimer ce que tu prescris et de désirer ce que tu promets, afin que, parmi les changements du monde, nos cœurs soient attachés là où sont les joies véritables.;
HYMNUS_vesperas;hy_Ad cenam Agni próvidi;;
ant7;Confídite, ego vici mundum, allelúia.;Prenez confiance, j'ai vaincu le monde, alléluia.;Jn XVI 33
ant8;Habitábit in tabernáculo tuo, requiéscet in monte sancto tuo, allelúia.;Il habitera dans ta tente, Il demeurera sur ta montagne sainte, alléluia.;Ps XV 1
ant9;Ego, si exaltátus fúero a terra, ómnia traham ad meípsum, allelúia.;Moi, quand j'aurai été élevé de la terre, j'attirerai tous les hommes à moi, alléluia.;Jn XII 32
LB_soir;LB_Hebr 8, 1b-3a;;
RB_soir;"R/. Gavísi sunt discípuli, *Allelúia, allelúia. Gavísi. 
V/. Viso Dómino. * Allelúia, allelúia. Glória Patri. Gavísi.";"R/. Les disciples furent emplis de joie, *Alléluia, alléluia. Les disciples. 
V/. En voyant le Seigneur. * Alléluia, alléluia. Gloire au Père. Les disciples.";Jn XX 20
magnificat;Paráclitus Spíritus Sanctus, quem mittet Pater in nómine meo, ille vos docébit et súggeret vobis ómnia quæcúmque díxero vobis, allelúia.;Le Consolateur, l'Esprit-Saint, que mon Père enverra en mon nom, lui, vous enseignera toutes  choses, et vous rappellera tout ce que je vous ai dit, alléluia.;Jn XIV 26
oratio_vesperas;Deus, qui fidélium mentes uníus éfficis voluntátis, da pópulis tuis id amáre quod præcipis, id desideráre quod promíttis, ut, inter mundánas varietátes, ibi nostra fixa sint corda, ubi vera sunt gáudia. Per Dóminum.;Ô Dieu, qui fais des esprits de tes fidèles les esprits d’une unique volonté, donne à tes peuples d’aimer ce que tu prescris et de désirer ce que tu promets, afin que, parmi les changements du monde, nos cœurs soient attachés là où sont les joies véritables.;
preces_soir;preces_X;
