HYMNUS_laudes;hy_Optátus votis ómnium;;
ant1;"Deus, tu convérsus vivificábis nos; et plebs tua lætábitur in te, allelúia.";Dieu, nous feras-tu revenir à la vie,  afin que ton peuple se réjouisse en toi, alléluia.;Ps LXXXV 7
ant2;"Sperávimus in Dómino; dedit pacem nobis, allelúia.";Nous avons espéré dans le Seigneur, il nous a donné la paix, alléluia.;
ant3;"Terra dedit fructum suum; læténtur et exsúltent gentes, allelúia.";La terre a donné ses fruits, que les peuples se réjouissent et exultent de joie, alléluia.;Cf. Ps LXVII 7
LB_matin;LB_Act 13, 30-33;;
RB_matin;"R/. Surréxit Dóminus de sepúlcro,* Allelúia, allelúia. Surréxit. 
V/. Qui pro nobis pepéndit in ligno. *Allelúia, allelúia. Glória Patri. Surréxit.
";"R/. Le Seigneur s'est relevé du tombeau,* Alléluia, alléluia. Le Seigneur.
V/. Lui qui pour nous a pendu sur le bois. *Alléluia, alléluia. Gloire au Père. Le Seigneur.";
benedictus;"Resurréxit Dóminus a mórtuis, sicut díxerat; exsultémus et lætémur omnes, quóniam ipse regnat in ætérnum, allelúia.";"Le Seigneur est ressucité des morts, comme il l'avait dit ; soyons tous dans l'allégresse et dans la joie car il règne pour l'éternité, alléluia.";
preces_matin;preces_XI;;
oratio_laudes;Præsta, quæsumus, omnípotens et miséricors Deus, ut Spíritus Sanctus advéniens templum nos glóriæ suæ dignánter inhabitándo perfíciat. Per Dóminum.;Fais, nous t’en supplions, Dieu tout-puissant et miséricordieux, que l’Esprit Saint qui arrive fasse de nous un temple de sa gloire en habitant en nous avec bonté.;
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant5;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant6;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
LB_3;LB_Act 4, 11-12;;
RB_3;"V/. Surréxit Dóminus vere, allelúia. 
R/. Et appáruit Simóni, allelúia.";"V/. Le Seigneur est vraiment ressuscité, alléluia.
R/. Et il est apparu à Simon, alléluia.";Luc XXIV 34
oratio_3;Præsta, quæsumus, omnípotens et miséricors Deus, ut Spíritus Sanctus advéniens templum nos glóriæ suæ dignánter inhabitándo perfíciat. Per Dóminum.;Fais, nous t’en supplions, Dieu tout-puissant et miséricordieux, que l’Esprit Saint qui arrive fasse de nous un temple de sa gloire en habitant en nous avec bonté.;
LB_6;LB_1 Petr 3, 21-22a;;
RB_6;"V/. Gavísi sunt discípuli, allelúia. 
R/. Viso Dómino, allelúia.";"V/. Les disciples furent remplis de joie, alléluia.
R/. En voyant le  Seigneur, alléluia.";Jean XX 20
oratio_6;Præsta, quæsumus, omnípotens et miséricors Deus, ut Spíritus Sanctus advéniens templum nos glóriæ suæ dignánter inhabitándo perfíciat. Per Dóminum.;Fais, nous t’en supplions, Dieu tout-puissant et miséricordieux, que l’Esprit Saint qui arrive fasse de nous un temple de sa gloire en habitant en nous avec bonté.;
LB_9;LB_Col 3, 1-2;;
RB_9;"V/. Mane nobíscum, Dómine, allelúia. 
R/. Quóniam advesperáscit, allelúia.";"V/. Reste avec nous, Seigneur, alléluia.
R/. Car le soir tombe, alléluia.";Luc XXIV 29
oratio_9;Præsta, quæsumus, omnípotens et miséricors Deus, ut Spíritus Sanctus advéniens templum nos glóriæ suæ dignánter inhabitándo perfíciat. Per Dóminum.;Fais, nous t’en supplions, Dieu tout-puissant et miséricordieux, que l’Esprit Saint qui arrive fasse de nous un temple de sa gloire en habitant en nous avec bonté.;
HYMNUS_vesperas;hy_Veni, creátor Spíritus,;;
ant7;Pax vobis, ego sum: nolíte timére, allelúia.;Paix sur vous, c'est moi, ne craignez pas, alléluia.;
ant8;Speret Israel in Dómino, allelúia.;Israël met son espoir dans le Seigneur, alléluia.;Ps CXXX 7 et Ps CXXXI 3
ant9;Tibi sérviat omnis creatúra tua, quia dixísti et facta sunt, allelúia.;Que toutes tes créatures te servent, parce que tu as parlé, et tout a été fait, alléluia.;Ju XVI 17
LB_soir;LB_1 Petr 2, 4-5;;
RB_soir;"R/. Spíritus Paráclitus, * Allelúia, allelúia. Spíritus. 
V/. Docébit vos ómnia. * Allelúia, allelúia. Glória Patri. Spíritus.";"R/. L'Esprit Paraclet, * Allelúia, allelúia. L'Esprit.
V/. Vous enseignera toutes choses. * Allelúia, allelúia. Gloire au Père. L'Esprit.";
magnificat;Accipiétis virtútem Spíritus Sancti in vos, et éritis mihi testes usque ad últimum terræ, allelúia.;Vous recevrez de la force de l'Esprit Saint, et vous serez mes témoins jusqu'à l'extrémité de la terre, alléluia.;Ac I 8
oratio_vesperas;Præsta, quæsumus, omnípotens et miséricors Deus, ut Spíritus Sanctus advéniens templum nos glóriæ suæ dignánter inhabitándo perfíciat. Per Dóminum.;Fais, nous t’en supplions, Dieu tout-puissant et miséricordieux, que l’Esprit Saint qui arrive fasse de nous un temple de sa gloire en habitant en nous avec bonté.;
preces_soir;preces_XII
