HYMNUS_laudes;hy_Lucis largítor spléndide;
ant1;Quando véniam et apparébo ante fáciem Dómini?;Quand viendrai-je et apparaîtrai-je devant ta face, Seigneur ?
ant2;Osténde nobis, Dómine, lucem miseratiónum tuárum.;Montre nous, Seigneur, la lumière de ta miséricorde.
ant3;Benedíctus es, Dómine, in firmaménto cæli.;Montre nous, Seigneur, la lumière de ta miséricorde.
LB_matin;LB_Ier 15, 16;
RB_matin;"R/. Exsultáte, iusti, in Dómino; * Rectos decet collaudátio. Exsultáte.
V/. Cantáte ei cánticum novum. * Rectos decet collaudátio. Glória Patri. Exsultáte. ";"R/. Exultez, justes, dans le Seigneur ; * Aux hommes droits sied la louange.
V/. Chante-lui un cantique nouveau. Gloire au Père."
benedictus;Benedíctus Dóminus, quia visitávit et liberávit nos.;Béni soit le Seigneur qui nous a visités et libérés.
preces_matin;preces_IX;
oratio_laudes;Dómine Deus omnípotens, qui ad princípium huius diéi nos perveníre fecísti, tua nos hódie salva virtúte, ut in hac die ad nullum declinémus peccátum, sed semper ad tuam iustítiam faciéndam, nostra procédant elóquia, dirigántur cogitatiónes et ópera. Per Dóminum.;Seigneur Dieu tout puissant qui nous as fait parvenir au début de ce jour, sauve-nous aujourd'hui par ta puissance: que, en ce jour, nos coeurs ne s'abandonnent pas au péché mais que, nous dirigions…. nos pensées, nos paroles et nos actes, nous accomplissons ta justice.
HYMNUS_tertiam;hy_Nunc_Sancte_nobis_Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Beáti qui áudiunt verbum Dei et custódiunt illud.;Heureux ceux qui entendent la parole de Dieu et qui la gardent.
ant5;Meus cibus est ut fáciam voluntátem Patris.;Ma nourriture est de faire la volonté du Père.
ant6;"Pauper sum ego; Dóminus sollícitus est mei.";"Je suis pauvre ; le Seigneur est mon soutien."
LB_3;LB_Ier 31, 33;
RB_3;"V/. Cor mundum crea in me Deus.
R/. Ne proícias me a fácie tua.";"V/. Crée en moi un coeur pur, ô mon Dieu,
R/. Ne me chasse pas loin de ta face."
oratio_3;Deus, Pater óptime, qui labórem homínibus ita dedísti, ut mútua semper arte ad altióra profícerent, præsta, quæsumus, sic nos iúgiter operári, ut filiórum in te spíritu et fratérna in omnes caritáte vivámus. Per Christum.;Dieu, Père très bon, toi qui as confié la terre aux hommes pour qu'ils la gardent et la travaillent, pour qu'ils puissent progresser en s'entraidant, donne-nous de mener nos travaux avec un esprit filial envers toi et un esprit fraternel envers tous. Par le Christ, notre Seigneur. Amen.
LB_6;LB_Ier 32, 40;
RB_6;"V/. In Deo salutáre meum et glória mea.
R/. Et refúgium meum in illo.";"V/. En Dieu mon salut et ma gloire.
R/. Et mon refuge est en lui."
oratio_6;Deus, qui messis ac víneæ dóminus es et custos, quique offícia tríbuis et iusta stipéndia meritórum, fac nos diéi pondus ita portáre, ut nihil umquam de tuis plácitis conquerámur. Per Christum.;Maître de la vigne et de la moisson, toi qui répartis les tâches et donnes le-vrai salaire, aide-nous à porter le poids du jour sans murmurer contre ta volonté. Par le Christ.
LB_9;LB_Ez 34, 31;
RB_9;"V/. Dóminus regit me et nihil mihi déerit.
R/. In loco páscuæ ibi me collocávit.";"V/. Le Seigneur est mon berger: je ne manque de rien.
R/. Sur des prés d'herbe fraîche, il me fait reposer."
oratio_9;Deus, qui nos ádvocas illa hora, qua ad templum ascendébant Apóstoli, præsta, ut orátio, quam in nómine Iesu sincéra tibi mente persólvimus, ómnibus nomen illud invocántibus salútem eius váleat impetráre. Per Christum.;Dieu qui nous invites, à nous réunir près de toi comme les Apôtres qui montaient au Temple à la neuvième heure. Que notre prière faite au nom de Jésus appelle ton salut sur tous ceux qui invoquent son nom. Par le Christ.
HYMNUS_vesperas;hy_Lúminis fons, lux et orígo lucis;
ant7;Speciósus forma præ fíliis hóminum, diffúsa est grátia in lábiis tuis.;Tu es le plus beau des enfants des hommes, la grâce es répandue sur tes lèvres.
ant8;Ecce Sponsus venit: exíte óbviam ei.;Voici l’époux, sortez à sa rencontre
ant9;Propósuit Deus in plenitúdine témporum instauráre ómnia in Christo.;Dieu a prévu qu’à la fin des temps, tout serait instauré dans le Christ.
LB_soir;LB_1 Th 2, 13;
RB_soir;"R/. Dirigátur, Dómine, * Ad te orátio mea. Dirigátur.
V/. Sicut incénsum in conspéctu tuo. * Ad te orátio mea. Glória Patri. Dirigátur.";"R/. Dirige, Seigneur, * vers toi ma prière. Dirige.
V/. Comme l’encens en ta présence. Gloire au Père."
magnificat;Magníficet te semper ánima mea, Deus meus.;Que mon âme de magnifie toujours, mon Dieu.
oratio_vesperas;Deus omnípotens, qui hódie servos tuos inútiles in labóribus roborásti, hoc laudis súscipe, quod tibi offérimus, sacrifícium vespertínum, de suscéptis a te munéribus grátias referéntes. Per Dóminum.;Dieu tout puissant, qui aujourd’hui avez fortifié tes serviteurs inutiles dans leurs labeurs, accepte la louange que nous t’offrons, le sacrifice du soir, te rendant grâce des dons que tu as acceptés
preces_soir;preces_X
