HYMNUS_laudes;hy_Deus, qui cæli lumen es;
ant1;Cor mundum crea in me, Deus, et spíritum rectum ínnova in viscéribus meis.;Créée en moi un cœur pur, Dieu, et renouvelle un esprit droit dans mon sein.
ant2;Lætáre, Ierúsalem, quia per te omnes congregabúntur ad Dóminum.;Réjouis-toi, Jérusalem, car par toi tous se rassembleront pour le Seigneur.
ant3;Lauda Deum tuum, Sion, qui emíttit elóquium suum terræ.;Loue ton Dieu, Sion, qui a envoyé sa parole sur la terre.
LB_matin;LB_Gal 2, 19b-20;
RB_matin;"R/. Clamábo ad Dóminum altíssimum, * Qui benefécit mihi. Clamábo.
V/. Mittet de cælo et liberábit me. * Qui benefécit mihi. Glória Patri. Clamábo.";"R/. J’ai crié vers le Seigneur très haut. Lui qui fit tout pour moi. J’ai crié. 
V/. Il enverra du ciel et me libérera. * Lui qui fit tout pour moi. Gloire au Père. J’ai crié."
benedictus;Per víscera misericórdiæ Dei nostri, visitávit nos Oriens ex alto.;Par l'effet de la tendre miséricorde de notre Dieu, une lumière d'en haut nous visitera.
preces_matin;preces_XVII;
oratio_laudes;Grátiæ tuæ, quæsumus, Dómine, supplícibus tuis tríbue largitátem, ut mandáta tua, te operánte, sectántes, consolatiónem vitæ præséntis accípiant, et futúra gáudia comprehéndant. Per Dóminum.;Donne à ceux qui te prient, Seigneur, l’abondance de ta grâce. Avec ton aide, qu’ils suivent tes commandements pour y trouver dès maintenant leur bonheur, pour en recevoir, dans l’éternité, ta joie. Par Jésus-Christ.
HYMNUS_tertiam;hy_Nunc_Sancte_nobis_Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Pax multa diligéntibus legem tuam, Dómine.;Il y a une grande paix pour ceux qui aiment ta loi, Seigneur.
ant5;Multitúdinis credéntium erat cor unum et ánima una.;La multitude des croyant était un seul cœur et une seule âme.
ant6;Custódi me de manu peccatóris, Dómine, virtus salútis meæ.;Garde-moi de la main des pêcheurs, Seigneur, force de mon salut.
LB_3;LB_Rom 12, 17a. 19b-20a. 21;
RB_3;"V/. Misericórdia Dómini ab ætérno et usque in ætérnum.
R/. Et iustítia illíus in eos qui servant testaméntum eius.";"V/. La miséricorde du Seigneur demeure dans l’éternité.
R/. Et sa justice en tous ceux qui gardent ses commandements."
oratio_3;Dómine Iesu Christe, qui hora tértia ad crucis poenam ductus es pro mundi salúte, te súpplices exorámus, ut et de prætéritis malis semper apud te véniam impetrémus, et de futúris iúgiter habeámus custódiam. Qui vivis.;Nous te supplions instamment, Seigneur Jésus, à l'heure où tu fus conduit à la croix pour le salut du monde: pardonne-nous les fautes commises et protège-nous pour l'avenir. Toi qui règnes pour les siècles des siècles. Amen.
LB_6;LB_1 Io 3, 16;
RB_6;"V/. Confitémini Dómino quóniam bonus.
R/. Quóniam in sæculum misericórdia eius.";"V/. Rendez-grâces au Seigneur car il est bon.
R/. Car sa miséricorde est pour les siècles."
oratio_6;Dómine Iesu Christe, qui hora sexta, univérso mundo in ténebris constitúto, pro redemptióne nostra crucis lignum ínnocens ascendísti, illam nobis lucem semper concéde, per quam ad ætérnam vitam perveníre mereámur. Qui vivis.;Seigneur Jésus Christ, qui, à la sixième heure, le monde entier plongé dans les ténèbres, fus élevé innocent sur le bois de la croix pour notre rédemption, accorde-nous toujours la lumière par laquelle nous mériterons de parvenir à la vie éternelle. Toi qui règnes.
LB_9;LB_1 Io 4, 9-11;
RB_9;"V/. Protéctor noster áspice, Deus.
R/. Et réspice in fáciem Christi tui.";"V/. Dieu, notre protecteeur, jette un regard sur nous.
R/. Et vois la face de ton Christ."
