intitule;Dominica I Adventus;Ier dimanche de l'Avent
pmagnificat_A;Vigiláte ergo, dicit Iesus, quia nescítis qua die Dóminus vester ventúrus sit.;
pmagnificat_B;Ecce nomen Dómini venit de longínquo, et cláritas eius replet orbem terrárum.;
pmagnificat_C;Erunt signa in sole et luna et stellis, et super terram pressúra géntium, et tunc vidébunt Fílium hóminis veniéntem in nube cum potestáte et glória magna.;
oratio;Da, quæsumus, omnípotens Deus, hanc tuis fidélibus voluntátem, ut, Christo tuo veniénti iustis opéribus occurréntes, eius déxteræ sociáti, regnum mereántur possidére cæléste. Per Dóminum.;
benedictus_A;Si sciret paterfamílias qua hora fur ventúrus esset, vigiláret útique et non síneret pérfodi domum suam.;
benedictus_B;Vigiláte ergo: nescítis enim quando dóminus domus véniat: sero an média nocte, an galli cantu an mane.;
benedictus_C;Respícite et leváte cápita vestra, quóniam appropínquat redémptio vestra.;
2magnificat_A;Spíritus Sanctus in te descéndet, María: ne tímeas, habébis in útero Fílium Dei, allelúia.;
2magnificat_B;Ne tímeas, María, invenísti enim grátiam apud Dóminum: ecce concípies et páries fílium, allelúia.;
2magnificat_C;Beáta es, María, quæ credidísti Dómino, perficiéntur in te, quæ dicta sunt tibi a Dómino, allelúia.;
