intitule;Dominica I Quadragesimae;Ier dimanche de Carême
pmagnificat_A;"Ductus est Iesus in desértum a Spíritu, ut tentarétur a diábolo; et cum ieiunásset quadragínta diébus et quadragínta nóctibus, póstea esúriit.";
pmagnificat_B;"Iesus erat in desérto quadragínta diébus et tentabátur a Sátana; erátque cum béstiis, et ángeli ministrábant illi.";
pmagnificat_C;Iesus plenus Spíritu Sancto regréssus est ab Iordáne et agebátur in Spíritu in desértum diébus quadragínta et tentabátur a diábolo.;
oratio;Concéde nobis, omnípotens Deus, ut, per ánnua quadragesimális exercítia sacraménti, et ad intellegéndum Christi proficiámus arcánum, et efféctus eius digna conversatióne sectémur. Per Dóminum.;
benedictus_A;Non in solo pane vivit homo, sed in omni verbo quod procédit de ore Dei.;
benedictus_B;Venit Iesus in Galilæam prædicans evangélium Dei et dicens: Implétum est tempus, et appropinquávit regnum Dei. Pænitémini et crédite evangélio.;
benedictus_C;Nihil manducávit Iesus in diébus illis et, consummátis illis, esúriit.;
2magnificat_A;Dicit Iesus: Vade, Sátanas! Scriptum est enim: Dóminum Deum tuum adorábis et illi soli sérvies. Et ángeli accessérunt et ministrábant ei.;
2magnificat_B;Evígila super nos, ætérne Salvátor, ne nos apprehéndat cállidus tentátor, quia tu nobis factus es sempitérnus adiútor.;
2magnificat_C;Consummáta omni tentatióne, diábolus recéssit ab illo, usque ad tempus.;
