intitule;Dominica II Paschae;II° dimanche de Pâques;
pmagnificat_A;Post dies octo, iánuis clausis, ingréssus Dóminus dixit eis: Pax vobis, allelúia.;Après Huit jours, les portes étant fermées, le Seigneur entra et leur dit : Paix sur vous, alléluia.;Cf. Jean XX 26
pmagnificat_B;Post dies octo, iánuis clausis, ingréssus Dóminus dixit eis: Pax vobis, allelúia.;Après Huit jours, les portes étant fermées, le Seigneur entra et leur dit : Paix sur vous, alléluia.;Cf. Jean XX 26
pmagnificat_C;Post dies octo, iánuis clausis, ingréssus Dóminus dixit eis: Pax vobis, allelúia.;Après Huit jours, les portes étant fermées, le Seigneur entra et leur dit : Paix sur vous, alléluia.;Cf. Jean XX 26
oratio;Deus misericórdiæ sempitérnæ, qui in ipso paschális festi recúrsu fidem sacrátæ tibi plebis accéndis, auge grátiam quam dedísti, ut digna omnes intellegéntia comprehéndant quo lavácro ablúti, quo Spíritu regeneráti, quo sánguine sunt redémpti. Per Dóminum.;Dieu d’éternelle miséricorde, qui par le retour de ces fêtes pascales elles-mêmes enflammes la foi de ton peuple consacré, augmente la grâce que tu [lui] as donnée pour que tous par une intelligence juste, comprennent par quel baptême ils ont été purifiés, par quel Esprit ils ont été régénérés et par quel sang ils ont été rachetés.;
benedictus_A;"Mitte manum tuam et cognósce loca clavórum; et noli esse incrédulus, sed fidélis, allelúia.";Mets ta main  et reconnais la place des clous : ne soit plus incrédule, mais croyant. Alléluia;Cf. Jean XX 27
benedictus_B;"Mitte manum tuam et cognósce loca clavórum; et noli esse incrédulus, sed fidélis, allelúia.";Mets ta main  et reconnais la place des clous : ne soit plus incrédule, mais croyant, alléluia;Cf. Jean XX 27
benedictus_C;"Mitte manum tuam et cognósce loca clavórum; et noli esse incrédulus, sed fidélis, allelúia.";Mets ta main  et reconnais la place des clous : ne soit plus incrédule, mais croyant, alléluia;Cf. Jean XX 27
2magnificat_A;"Quia vidísti me, Thoma, credidísti; beáti qui non vidérunt et credidérunt, allelúia.";Mets ta main  et reconnais la place des clous : ne soit plus incrédule, mais croyant, alléluia;Jean XX 29
2magnificat_B;"Quia vidísti me, Thoma, credidísti; beáti qui non vidérunt et credidérunt, allelúia.";Mets ta main  et reconnais la place des clous : ne soit plus incrédule, mais croyant, alléluia;Jean XX 29
2magnificat_C;"Quia vidísti me, Thoma, credidísti; beáti qui non vidérunt et credidérunt, allelúia.";Mets ta main  et reconnais la place des clous : ne soit plus incrédule, mais croyant, alléluia;Jean XX 29
