intitule;Dominica III Paschae;III° dimanche de Pâques;
pmagnificat_A;Mane nobíscum, quóniam advesperáscit et inclináta est iam dies, allelúia. ;Reste avec nous, car le soir tombe et déjà le jour est sur son déclin, alléluia.;Luc XXIV 29
pmagnificat_B;Ipse Iesus stetit in médio discipulórum, et dicit eis: Pax vobis, allelúia. ;Jésus se trouva au milieu d'eux et leur dit: Paix sur vous, alléluia.;Luc XXIV 36
pmagnificat_C;Dixit Iesus discípulis suis: Afférte de píscibus, quos prendidístis nunc. Ascéndit autem Simon Petrus et traxit rete in terram, plenam magnis píscibus, allelúia.;Jésus leur dit: Apportez de ces poissons que vous venez de prendre. Simon-Pierre monta dans la barque, et tira à terre le filet qui était plein de grands poissons, alléluia.;Jean XXI 10-11
oratio;Semper exsúltet pópulus tuus, Deus, renováta ánimæ iuventúte, ut, qui nunc lætátur in adoptiónis se glóriam restitútum, resurrectiónis diem spe certæ gratulatiónis exspéctet. Per Dóminum.;Qu’exulte toujours ton peuple, Ô Dieu, par la jeunesse renouvelée de son âme, pour que, lui qui se réjouit maintenant d’être rétabli dans la gloire des fils d’adoption, attende le jour de la résurrection dans l’espérance d’une action de grâce assurée. ;
benedictus_A;Oportébat Christum pati et resúrgere a mórtuis tértia die, allelúia. ;Le Messie devait souffrir et ressusciter d'entre les morts le troisième jour, alléluia ;Cf. Ac XVII 3 + Luc XXIV 46
benedictus_B;Vidéte manus meas et pedes meos, quia ego sum. Palpáte me et vidéte, allelúia.;"Voyez mes mains et mes pieds; c'est bien moi. Touchez-moi et constatez, alléluia.";Luc XXIV 39
benedictus_C;Venit Iesus et áccipit panem et dat eis, et piscem simíliter. Hoc iam tértio manifestátus est Iesus discípulis, cum resurrexísset a mórtuis, allelúia.;"Jésus s'approcha, et prenant le pain, il leur en donna; il fit de même du poisson. C'était déjà la troisième fois que Jésus apparaissait à ses disciples, depuis qu'il avait ressuscité des morts, alléluia.";Jean XXI 13
2magnificat_A;Dum recúmberet cum illis, accépit panem et benedíxit ac fregit et porrigébat illis. Et apérti sunt óculi eórum et cognovérunt eum, allelúia. ;Quand il se fut mis à table avec eux, il prit le pain, dit la bénédiction, puis le rompit et le leur donna. Alors leurs yeux s'ouvrirent, et ils le reconnurent, alléluia.;Luc XXIV 30-31
2magnificat_B;Sic scriptum est, Christum pati et resúrgere a mórtuis die tértia, et prædicári in nómine eius pæniténtiam in remissiónem peccatórum in omnes gentes, allelúia. ;Ainsi il est écrit que le Christ devait souffrir et ressusciter des morts le troisième jour, et que le repentir pour la rémission des péchés doit être prêché en son nom à toutes les nations, alléluia.;Luc XXIV 46-47
2magnificat_C;Simon Ioánnis, amas me? Dómine, tu ómnia scis, tu cognóscis quia amo te. Dicit ei Iesus: Pasce oves meas, allelúia.;Simon fils de Jean, m'aimes-tu ? Seigneur, tu connais toutes choses,  tu sais bien que je t'aime. Jésus lui dit: Pais mes brebis, alléluia.;Cf. Jean XXI 17
