intitule;Dominica XXIII per annum;"XXIII° dimanche ""dans l'année"""
pmagnificat_A;Si peccáverit in te frater tuus, vade, córripe eum inter te et ipsum solum. Si te audíerit, lucrátus es fratrem tuum. ;
pmagnificat_B;Dum transíret Dóminus per médios fines Tyri, addúcunt ei surdum et mutum, et deprecántur eum ut impónat illi manum. ;
pmagnificat_C;Si quis venit ad me et non odit adhuc et ánimam suam, non potest esse meus discípulus.;
oratio;Deus, per quem nobis et redémptio venit et præstátur adóptio, fílios dilectiónis tuæ benígnus inténde, ut in Christo credéntibus et vera tribuátur libértas et heréditas ætérna. Per Dóminum.;"Ô Dieu, toi qui es à l’origine de notre rédemption et de notre adoption, regarde avec bonté les fils de ta tendresse ; puisque nous croyons au Christ, accorde-nous la vraie liberté et la vie éternelle."
benedictus_A;Si duo ex vobis consénserint super terram de omni re quamcúmque petíerint, fiet illis a Patre meo qui in cælis est. ;
benedictus_B;Suspíciens Iesus in cælum ingémuit et ait surdo et muto: Effetha, quod est: Adaperíre. ;
benedictus_C;Qui non báiulat crucem suam et venit post me non potest esse meus discípulus.;
2magnificat_A;Ubi sunt duo vel tres congregáti in nómine meo, ibi sum in médio eórum, dicit Dóminus. ;
2magnificat_B;Bene ómnia fecit, et surdos facit audíre et mutos loqui. ;
2magnificat_C;Qui non renúntiat ómnibus quæ póssidet, non potest meus esse discípulus.;
