jour;Die 25 aprilis;Le 25 avril;
intitule;S. MARCI, EVANGELISTÆ;S. MARC, EVANGELISTE;
rang;Festum;Fête;
HYMNUS_laudes;hy_Méntibus lætis tua festa, Marce;;
ant1;Sapiéntiam antiquórum exquisiérunt sancti evangelístæ, et prophetárum dictis narratiónem suam confirmavérunt, allelúia.;Les saints évangélistes ont cherché la sagesse de tous les anciens, et ils ont confirmé par leur narration ce qu'ont dit les prohètes, alléluia. ;Cf. Sir 39,1
ps1;ps62;;
ant2;In fide veritátis Deus vocávit nos per Evangélium, in acquisitiónem glóriæ Dómini nostri Iesu Christi, allelúia.;Par la foi en la vérité, Dieu vous a appelés par l'Evangile, pour vous faire acquérir la gloire de notre Seigneur Jésus-Christ, alléluia.;Cf. 2 Thes 2,13
ps2;AT41;;
ant3;Collaudábunt multi sapiéntiam eórum, et usque in sæculum non delébitur, allelúia.;Je veux encore publier le fruit de leur réflexions, et jusque dans les siècles, elle ne sera pas effacée, alléluia. ;Cf. Sir, 39,12
ps3;ps149;;
LB_matin;LB_1 Cor 15, 1-2a. 3-4;;
RB_matin;"R/. Narravérunt laudes Dómini et virtútes eius, * Allelúia, allelúia. Narravérunt.
V/. Et mirabília eius, quæ fecit. * Allelúia, allelúia. Glória Patri. Narravérunt.";"R/. Ils ont narré les louanges de Dieu et ses exploits, * Alléluia, alléluia. Ils ont.
V/. Et ses merveilles, qu'il a faites. * Alléluia, alléluia. Gloire au Père. Ils ont narré.";
benedictus;Iesu Christi grátia, credéntibus pópulis doctóres et evangelístæ sunt in ministério fídei missi, allelúia.;La grâce de Jésus-Christ, est pour le peuple des croyants et les évangélistes qui dont envoyés en ministère de foi, alléluia.;
preces_matin;preces_V;;
oratio;Deus, qui beátum Marcum evangelístam tuum evangélicæ prædicatiónis grátia sublimásti, tríbue, quæsumus, eius nos eruditióne ita profícere, ut vestígia Christi fidéliter sequámur. Per Dóminum.;O Dieu qui as glorifié le bienheureux Marc, ton evangéliste, en l'appelant à la dignité de prédicateur de l'Evangile, fais, nous t'en supplions, que nous profitions toujours de ses enseignements, et que, nous suivions fidèlement les traces du Christ.;
LB_3;LB_Rom 1, 16-17;;
RB_3;"V/. In omnem terram exívit sonus eórum, allelúia.
R/. Et in fines orbis terræ verba eórum, allelúia.";"V/. Leur voix est allée vers toute la terre, alléluia.
R/. Et leurs paroles jusqu'aux extrémités du monde, alléluia.";
LB_6;LB_1 Th 2, 2b-4a;;
RB_6;"V/. Custodiébant testimónia Dei, allelúia.
R/. Et præcépta eius, allelúia.";"V/. Ils ont gardé le témoignage de Dieu, alléluia.
R/. Et ses préceptes, alléluia.";
LB_9;LB_2 Tim 1, 8b-9;;
RB_9;"V/. Gaudéte et exsultáte, allelúia.
R/. Quia nómina vestra scripta sunt in cælis, allelúia.";"V/. Réjouissez-vous et exultez, alléluia.
R/. Car vos noms sont inscrits dans les cieux alléluia.";
HYMNUS_vepres;hy_Méntibus lætis tua festa, Marce;;
ant7;Evangélii factus sum miníster, secúndum donum grátiæ Dei, allelúia.;J'ai été fait ministre de l'Evangile, selon un don de la grâce de Dieu, alléluia.;
ps7;ps115;;
ant8;Omnia fácio propter Evangélium, ut eius párticeps effíciar, allelúia.;Je fais tout à cause de l'Évangile, afin d'y avoir part, alléluia.;1 Cor, 9,23.
ps8;ps125;;
ant9;Mihi data est grátia hæc: in géntibus evangelizáre investigábiles divítias Christi, allelúia.;C'est à moi qu'a été accordée cette grâce d'annoncer parmi les Gentils la richesse incompréhensible du Christ, alléluia.;Eph, 3,8.
ps9;NT4;;
LB_soir;LB_Col 1, 3-6;;
RB_soir;"R/. Annuntiáte inter gentes glóriam Dómini, * Allelúia, allelúia. Annuntiáte.
V/. In ómnibus pópulis mirabília eius. * Allelúia, allelúia. Glória Patri. Annuntiáte.";"R/. Annoncez parmi les Nations la gloire de Dieu, * Alléluia, alléluia. Annoncez.
V/. Parmi tous les peuples ses merveilles. *Alléluia, alléluia. Gloire au Père. Annoncez.";
magnificat;Verbum Dómini manet in ætérnum: hoc est autem verbum, quod evangelizátum est in vos, allelúia.;La parole du Seigneur demeure éternellement. C'est cette parole dont l'Evangile vous a été apportée, alléluia.;
preces_soir;preces_VI;;
;;
