jour;Die 14 maii;Le 14 mai;
intitule;S. MATTHIÆ, APOSTOLI;S. MATTHIAS, APOTRE;
rang;Festum;Fête;
HYMNUS_laudes;hy_Claro pascháli gáudio;;
ant1;Hoc est præcéptum meum, ut diligátis ínvicem, sicut diléxi vos (T. P. allelúia).;Voici mon commandement : que vous vous aimez les uns les autres, comme je vous ai aimés (T.P. alléluia);
ps1;ps62;;
ant2;Maiórem caritátem nemo habet, ut ánimam suam ponat quis pro amícis suis (T. P. allelúia).;Il n'ya pas de plus grand amour que de donner sa vie pour ses amis (T.P. alléluia).;
ps2;AT41;;
ant3;Vos amíci mei estis, si fecéritis quæ præcípio vobis, dicit Dóminus (T. P. allelúia).;Vous serez mes amis, si vous gardez mes commandements, dit le Seigneur (T.P. alléluia);Jn 14,1
ps3;ps149;;
LB_matin;LB_Eph 2, 19-22;;
RB_matin;"R/. Constítues eos príncipes super omnem terram, * Allelúia, allelúia. Constítues.
V/. Mémores erunt nóminis tui, Dómine. * Allelúia, allelúia. Glória Patri. Constítues.";"R/. Tu en feras les princes de toute la terre.* Alléluia, alléluia. Tu en feras.
V/. Ils garderont le souvenir de ton nom, Seigneur * Alléluia, alléluia. Gloire au Père. Tu en feras.";
benedictus;Opórtet ex his viris, qui nobíscum sunt congregáti in omni témpore quo intrávit et exívit inter nos Dóminus Iesus, testem resurrectiónis eius nobíscum fíeri unum ex istis, allelúia.;Il faut donc que, parmi les hommes qui nous ont accompagnés tout le temps jusqu'au jour où il a été enlevé d'auprès de nous, il y en ait un de ceux-là qui devienne avec nous témoin de sa résurrection, alléluia.;
preces_matin;preces_V;;
oratio;Deus, qui beátum Matthíam Apostolórum collégio sociásti, eius nobis interventióne concéde, ut, dilectiónis tuæ sorte gaudéntes, cum eléctis numerári mereámur. Per Dóminum.;Dieu qui as associé le bienheureux Matthias au collège des Apôtres, accorde-nous, à son intervention, nous réjouissant de ta dilection, d’être un jour au nombre des élus.;
LB_3;LB_2 Cor 5, 19 b-20;;
RB_3;"V/. In omnem terram exívit sonus eórum, allelúia.
R/. Et in fines orbis terræ verba eórum, allelúia.";"V/. Leur voix est allée vers toute la terre, alléluia.
R/. Et leurs paroles jusqu'aux extrémités du monde, alléluia.";
LB_6;LB_Act 5, 12 a. 14;;
RB_6;"V/. Custodiébant testimónia Dei, allelúia.
R/. Et præcépta eius, allelúia.";"V/. Ils ont gardé le témoignage de Dieu, alléluia.
R/. Et ses préceptes, alléluia";
LB_9;LB_Act 5, 41-42;;
RB_9;"V/. Gaudéte et exsultáte, allelúia.
R/. Quia nómina vestra scripta sunt in cælis, allelúia.";"V/. Réjouissez-vous et exultez, alléluia.
R/. Car vos noms sont inscrits dans les cieux alléluia.";
HYMNUS_vepres;hy_Tristes erant Apóstoli;;
ant7;Vos estis qui permansístis mecum in tentatiónibus meis (T. P. allelúia).;Vous êtes ceux qui sont restés avec moi dans mes tentations (T.P. alléluia).;
ps7;ps115;;
ant8;Ego in médio vestrum sum, sicut qui minístrat (T. P. allelúia).;Moi, au milieu de vous, je suis comme celui qui sert (T.P. alléluia).;Lc 22,27
ps8;ps125;;
ant9;Iam non dicam vos servos, sed amícos meos, quia ómnia quæcúmque audívi a Patre meo, nota feci vobis (T. P. allelúia).;Je ne vous appelle plus serviteurs, mais amis, parce que tout ce que j'ai entendu de mon Père, je vous l'ai fait connaître. ;Jn 15,15
ps9;NT4;;
LB_soir;LB_Eph 4, 11-13;;
RB_soir;"R/. Annuntiáte inter gentes glóriam Dómini, * Allelúia, allelúia. Annuntiáte.
V/. In ómnibus pópulis mirabília eius. * Allelúia, allelúia. Glória Patri. Annuntiáte.";"R/. Annoncez parmi les Nations la gloire de Dieu, * Alléluia, alléluia. Annoncez.
V/. Parmi tous les peuples ses merveilles. *Alléluia, alléluia. Gloire au Père. Annoncez.";
magnificat;Non vos me elegístis, sed ego elégi vos et pósui vos, ut eátis et fructum afferátis, et fructus vester máneat, allelúia.;Ce n'est pas vous qui m'avez choisi, mais c'est moi qui vous ai choisis et qui vous ai établis, pour que vous alliez et que vous portiez du fruit, que votre fruit demeure, alléluia.;Jn 15,16
preces_soir;preces_VI;;
;;
;;
