ant_invit;Agnum Dei, quem lætus monstrávit Ioánnes, veníte, adorémus.;Jean nous a montrés l'agneau de Dieu. Venez, adorons-le.;
jour;Die 24 iunii;Le 24 juin;
intitule;IN NATIVITATE S. IOANNIS BAPTISTÆ;NATIVITE DE S. JEAN BAPTISTE;
rang;Sollemnitas;Solennité;
HYMNUS_1V;hy_Ut queant laxis resonáre fibris;;
ant01;Elísabeth Zacharíæ magnum virum génuit: Ioánnem Baptístam, præcursórem Dómini.;Elisabeth, femme de Zacharie, mit au monde un grand homme, Jean-Baptiste, le précursuer du Seigneur.;Lc 1,13,15
ps01;ps112;;
ant02;Ex útero senectútis et stérili Ioánnes natus est, præcúrsor Dómini.;Du sein d'une femme avancée en âge et stérile naquit Jean, le précurseur du Seigneur.;
ps02;ps145;;
ant03;Inter natos mulíerum non surréxit maior Ioánne Baptísta.;Parmi les enfants des femmes, il n'en est point paru de plus grand que Jean-Baptiste.;Mt 11,11
ps03;NT4;;
LB_1V;LB_ Act 13, 23-25;;
RB_1V;"R/. Paráte vias Dómini, * Rectas fácite sémitas eius. Paráte.
V/. Post me venit vir, qui ante me factus est. * Rectas fácite sémitas eius. Glória Patri. Paráte.";"R/. Préparez les voies du Seigneur, * rendez droits ses chemins. Préparez.
V/.Après moi vient un homme, qui avant moi fut. * rendez droits ses chemins. Gloire au Père. Préparez.";
pmagnificat;Ingrésso Zacharía templum Dómini, appáruit ei Gábriel ángelus, stans a dextris altáris incénsi.;Zacharie entra dans le temple, et l'ange Gabriel lui apparut, debout à droite de l'autel de l'encens.;
HYMNUS_laudes;hy_O nimis felix meritíque celsi;;
ant1;Ioánnes vocábitur nomen eius, et in nativitáte eius multi gaudébunt.;Il sera appelé Jean, et beaucoup se réjouiront de sa naissance.;Lc 1,13-14
ps1;ps62;;
ant2;Ipse præíbit ante illum in spíritu et virtúte Elíæ paráre Dómino plebem perféctam.;il le précédera avec l'esprit et la puissance d'Elie, préparant au Seigneur un peuple bien disposé.;Lc 1,17
ps2;AT41;;
ant3;"Tu, puer, prophéta Altíssimi vocáberis; præíbis ante Dóminum paráre vias eius.";Et toi, petit enfant, tu seras appelé Prophète du Très Haut, tu marcheras devant la face du Seigneur pour préparer ses voies.;Lc 1,76
ps3;ps149;;
ant4;Erit magnus coram Dómino, et Spíritu Sancto replébitur adhuc ex útero matris suæ.;Cet enfant sera grand aux yeux du Seigneur, et l'Esprit Saint l'a rempli dès le sein de sa mère.;Lc 1,15
ps4;ps122;;
ant5;Ex quo facta est vox salutatiónis tuæ in áuribus meis, exsultávit infans in útero meo, allelúia.;Lorsque j'ai entendu ta salutation dans les oreilles, l'enfant a tressali en mon sein, alléluia.;
ps5;ps123;;
ant6;Iste puer magnus coram Dómino, nam et manus eius cum ipso est.;Cet enfant sera grand aux yeux du Seigneur, car la main du Seigneur est vraiment sur lui.;Lc 1,15.66
LB_3;LB_Is 49, 1;;
RB_3;"V/. Ego vidi Spíritum descendéntem et manéntem super eum.
R/. Hic est qui baptízat in Spíritu Sancto.";"V/. Je vis l'Esprit descendre et demeurer sur lui.
R/. Celui qui baptise dans l'Esprit Saint.";
LB_6;LB_Cf. Is 49, 5a-6b;;
RB_6;"V/. Dóminus ab útero vocávit me.
R/. De ventre matris meæ recordátus est nóminis mei.";"V/. J'étais encore dans le sein maternel quand le Seigneur m'a appelé.
R/. J'étais encore dans les entrailles de ma mère quand il a prononcé mon nom.";
LB_9;LB_Is 49, 7b;;
RB_9;"V/. Ecce dedi verba mea in ore tuo.
R/. Ecce constítui te super gentes et regna.";"V/. Je mets dans ta bouche mes paroles.
R/. Je te donne autorité sur tous les peuples et les royaumes.";
oratio_1V;Præsta, quæsumus, omnípotens Deus, ut família tua per viam salútis incédat, et, beáti Ioánnis Præcursóris hortaménta sectándo, ad eum quem prædíxit, secúra pervéniat, Dóminum nostrum Iesum Christum. Qui tecum.;Nous t'en supplions, Dieu tout puissant, que ta famille marche sur la voie du salut, et qu'en en suivant les exortations du bienheureux Jean le Précurseur, et qu'elle parvienne de façon certaine à celui qu'il a annoncé, notre Seigneur Jésus-Christ.;
oratio;Deus, qui beátum Ioánnem Baptístam suscitásti, ut perféctam plebem Christo Dómino præparáret, da pópulis tuis spiritálium grátiam gaudiórum, et ómnium fidélium mentes dírige in viam salútis et pacis. Per Dóminum.;Dieu, qui a suscité Jean le Baptiste pour préparer un peuple parfait au Christ Seigneur, donne à ton peuple la grâce de la joie spirituelle, et dirige les âmes de tous les fidèles dans la voie du salut et de la paix.;
benedictus_A;Apértum est os Zacharíæ, et prophetávit dicens: Benedíctus Deus Israel.;La bouche de Zacharie s'ouvrit, et il se mit à prophétiser en disant : Béni soit le Dieu d'Israël.;
benedictus_B;Apértum est os Zacharíæ, et prophetávit dicens: Benedíctus Deus Israel.;La bouche de Zacharie s'ouvrit, et il se mit à prophétiser en disant : Béni soit le Dieu d'Israël.;
benedictus_C;Apértum est os Zacharíæ, et prophetávit dicens: Benedíctus Deus Israel.;La bouche de Zacharie s'ouvrit, et il se mit à prophétiser en disant : Béni soit le Dieu d'Israël.;
magnificat;" Puer, qui natus est nobis, plus quam prophéta est; hic est enim de quo Salvátor ait: Inter natos mulíerum non surréxit maior Ioánne Baptísta.";"L'enfant qui nous est né est plus qu'un prophète ; c'est celui dont le sauveur a dit : parmi les enfants des femmes, il n'en est point paru de plus grand que Jean-Baptiste.";
ant7;Fuit homo, missus a Deo, cui nomen erat Ioannes.;Parut un homme envoyé de Dieu, dont le nom était Jean.;Jn 1,6
ps7;ps14;;
ant8;Hic venit ut testimónium perhibéret veritáti.;Voici celui qui vient pour rendre témoignage à la vérité.;
ps8;ps111;;
ant9;Ioánnes erat lucérna ardens et lucens.;Jean Baptiste était la lampe, allumée et brillante.;
ps9;NT11;;
LB_matin;LB_Mal 3, 23-24;;
RB_matin;"R/. Magnus erit coram Dómino, * Et Spíritu Sancto replébitur. Magnus.
V/. Ipse præcédet ante Dóminum paráre illi plebem perféctam. * Et Spíritu Sancto replébitur. Glória Patri. Magnus.";"R/. Il sera grand aux yeux du Seigneur * Et rempli de l'Esprit Saint. Il sera grand.
V/. Il précèdera le Seigneur pour lui préparer un peuple parfait. * Et rempli de l'Esprit Saint. Gloire au Père. Il sera grand.";
LB_soir;LB_Eph 2, 4-7;;
RB_soir;"R/. Paráte vias Dómini, * Rectas fácite sémitas eius. Paráte.
V/. Post me venit vir, qui ante me factus est. * Rectas fácite sémitas eius. Glória Patri. Paráte.";"R/. Préparez les voies du Seigneur, * rendez droits ses chemins. Préparez.
V/.Après moi vient un homme, qui avant moi fut. * rendez droits ses chemins. Gloire au Père. Préparez.";
HYMNUS_vepres;hy_Ut queant laxis resonáre fibris;
