jour;Die 3 iulii;Le 3 juillet;
intitule;S. THOMÆ, APOSTOLI;S. THOMAS, APOTRE;
rang;Festum;Fête;
ant_invit;Regem Apostolórum Dóminum, veníte, adorémus.;Roi des apôtres, le Seigneur, venez, adorons.;
HYMNUS_laudes;hy_Qui luce splendes órdinis;;
ant1;Dicit Thomas: Dómine, nescímus quo vadis, et quómodo póssumus viam scire? Dicit ei Iesus: Ego sum via, véritas et vita.;"Thomas dit: Seigneur, nous ne savons où tu vas; comment donc en saurions-nous le chemin? Jésus lui dit: Je suis le chemin, la vérité et la vie.";
ps1;ps62;;
ant2;"Thomas, qui dícitur Dídymus, non erat cum eis quando venit Iesus; dixérunt álii discípuli: Vídimus Dóminum, allelúia.";"Thomas, celui qu'on appelle Didyme, n'était pas avec eux lorsque Jésus vint; les autres disciples lui dirent : Nous avons vu le Seigneur, alléluia. ";Jn 20,24
ps2;AT41;;
ant3;Mitte manum tuam et cognósce loca clavórum, et noli esse incrédulus sed fidélis, allelúia.;Mets ta main, vois les endroits des clous, ne sois plus incrédule, mais croyant, alléluia.;
ps3;ps149;;
LB_matin;LB_Eph 2, 19-22;;
RB_matin;"R/. Constítues eos príncipes super omnem terram, * Allelúia, allelúia. Constítues.
V/. Mémores erunt nóminis tui, Dómine. * Allelúia, allelúia. Glória Patri. Constítues.";"R/. Tu en feras les princes de toute la terre.* Alléluia, alléluia. Tu en feras.
V/. Ils garderont le souvenir de ton nom, Seigneur * Alléluia, alléluia. Gloire au Père. Tu en feras.";
benedictus;"Quia vidísti me, Thoma, credidísti; beáti qui non vidérunt et credidérunt, allelúia.";;
preces_matin;preces_V;;
oratio;Da nobis, omnípotens Deus, beáti Thomæ apóstoli festivitáte gloriári, ut eius semper et patrocíniis sublevémur, et vitam credéntes habeámus in nómine eius, quem ipse Dóminum agnóvit, Iesum Christum Fílium tuum. Qui tecum.;Donne-nous, Dieu tout puissant, de célébrer glorieusement la fête du bienhereux apôtre Thomas, pour que sa protection nous soutienne toujours, et que nous ayons la foi dans le nom de celui qui'il a reconnu comme Seigneur, Jésus-Christ ton Fils.;
ant4;Eúntes, prædicáte Evangélium regni: gratis accepístis, gratis date.;Allez, préchez le règne de l'Evangile : ce que vous avez reçu gratuitement, donnez-le gratuitement.
LB_3;LB_2 Cor 5, 19 b-20;
RB_3;"V/. In omnem terram exívit sonus eórum.
R/. Et in fines orbis terræ verba eórum.";"V/. Leur voix est allée vers toute la terre.
R/. Et leurs paroles jusqu'aux extrémités du monde."
ant5;Ecce ego vobíscum sum ómnibus diébus, usque ad consummatiónem sæculi.;Voici que je suis avec vous tous les jours, jusqu'à la consommation des siècles.
LB_6;LB_Act 5, 12 a. 14;
RB_6;"V/. Custodiébant testimónia Dei.
R/. Et præcépta eius.";"V/. Ils ont gardé le témoignage de Dieu.
R/. Et ses préceptes."
ant6;In patiéntia vestra possidébitis ánimas vestras.;Dans votre patience, vous prendrez possession de vos vies.
LB_9;LB_Act 5, 41-42;
RB_9;"V/. Gaudéte et exsultáte, dicit Dóminus. 
R/. Quia nómina vestra scripta sunt in cælis.";"V/. Réjouissez-vous et exsultez, dit le Seigneur.
R/. Car vos noms sont inscrits dans les cieux."
HYMNUS_vepres;hy_Exsúltet cælum láudibus;
ant7;Dicit Thomas: Dómine, nescímus quo vadis, et quómodo póssumus viam scire? Dicit ei Iesus: Ego sum via, véritas et vita.;"Thomas dit: Seigneur, nous ne savons où tu vas; comment donc en saurions-nous le chemin? Jésus lui dit: Je suis le chemin, la vérité et la vie."
ps7;ps115;
ant8;"Thomas, qui dícitur Dídymus, non erat cum eis quando venit Iesus; dixérunt álii discípuli: Vídimus Dóminum, allelúia.";"Thomas, celui qu'on appelle Didyme, n'était pas avec eux lorsque Jésus vint; les autres disciples lui dirent : Nous avons vu le Seigneur, alléluia. "
ps8;ps125;
ant9;Mitte manum tuam et cognósce loca clavórum, et noli esse incrédulus sed fidélis, allelúia.;Mets ta main, vois les endroits des clous, ne sois plus incrédule, mais croyant, alléluia.
ps9;NT4;
LB_soir;LB_Eph 4, 11-13;
RB_soir;"R/. Annuntiáte inter gentes glóriam Dómini, * Allelúia, allelúia. Annuntiáte.
V/. In ómnibus pópulis mirabília eius. * Allelúia, allelúia. Glória Patri. Annuntiáte.";"R/. Annoncez parmi les Nations la gloire de Dieu, * Alléluia, alléluia. Annoncez.
V/. Parmi tous les peuples ses merveilles. *Alléluia, alléluia. Gloire au Père. Annoncez."
magnificat;Misi dígitos meos in fixúras clavórum et manus meas in latus eius, et dixi: Dóminus meus et Deus meus, allelúia.;J'ai mis mes doigts dans les fixations des clous et mes mains dans son côté, et j'ai dit : mon Seigneur et mon Dieu, alléluia.
preces_soir;preces_VI;
