jour;Die 1 augusti;Le 1er août
intitule;S. ALFONSI MARlÆ DE' LIGUORI, EPISCOPI ET ECCLESIÆ DOCTORIS;S. ALPHONSE MARIE DE LIGORI, EVEQUE ET DOCTEUR DE L'EGLISE
rang;Memoria;Mémoire
ant_invit;Fontem sapiéntiæ, Dóminum, veníte, adorémus.;Source de Sagesse, le Seigneur, venez, adorons.
HYMNUS_laudes;hy_Doctor ætérnus cóleris piúsque;
LB_matin;LB_Sap 7, 13-14;
RB_matin;"R/. Sapiéntiam sanctórum * Narrent pópuli. Sapiéntiam. 
V/. Et laudes eórum núntiet Ecclésia. * Narrent pópuli. Glória Patri. Sapiéntiam.";"R/. La sagesse des saints * est narrée par le peuple.La Sagesse.
V/. Et leurs louanges sont annoncées dans l'Eglise. * Par le peuple. Gloire au Père. La sagesse."
benedictus;Qui docti fúerint, fulgébunt quasi splendor firmaménti, et qui ad iustítiam erúdiunt multos, quasi stellæ in perpétuas æternitátes.;Ceux qui furent doctes, brillent comme la splendeur du firmament, et ceux qui enseignèrent la justice à la multitude, sont comme des étoiles dans l'éternité perpétuelle.
oratio;Deus, qui in Ecclésia tua nova semper instáuras exémpla virtútum, da nobis in zelo animárum beáti Alfónsi Maríæ epíscopi ita vestígiis adhærére, ut eius in cælis assequámur et præmia. Per Dóminum.;"Dieu, qui ne cesses d'éveiller dans ton Eglise de nouveaux modèles de vertus ; fais nous suivre le modèle donné par le bienheureux évêque Alphonse-Marie, évêque, dans son zèle pour les âmes, de manière à obtenir comme lui le bonheur du ciel."
HYMNUS_vepres;hy_Ætérne sol, qui lúmine;
LB_soir;LB_Iac 3, 17-18;
RB_soir;"R/. In médio Ecclésiæ * Apéruit os eius. In médio. 
V/. Et implévit eum Dóminus spíritu sapiéntiæ et intelléctus. * Apéruit os eius. Glória Patri. In médio.";"R/. Au milieu de l'Eglise * il leur a ouvert la bouche. Au milieu.
V/. Et le Seigneur le sa rempli de l'Esprit de sagesse et d'intelligence. * il leur a ouvert la bouhce. Gloire au Père. Au milieu."
magnificat;O doctor óptime, Ecclésiæ sanctæ lumen, beáte N., divínæ legis amátor, deprecáre pro nobis Fílium Dei.;O docteur admirable, lumière de la sainte Eglise, bienheureux Alphonse-Marie, amant de la loi divine, prie pour nous le Fils de Dieu.
