jour;Die 28 Octobris;Le 28 Octobre
intitule;Ss. Simonis et Iudae, apostolorum;Ss. Simon et Jude, Apôtres
rang;Festum;Fête
ant_invit;;
HYMNUS_laudes;hy_Commúne vos, apóstoli,;
LB_matin;;
RB_matin;;
benedictus;;
oratio;Deus, qui nos per beátos Apóstolos ad agnitiónem tui nóminis veníre tribuísti, intercedéntibus sanctis Simóne et Iuda, concéde propítius, ut semper augeátur Ecclésia increméntis in te credéntium populórum. Per Dóminum.;Dieu qui nous as conduits à la connaissance de ton nom par la prédication des Apôtres, fais qu'à la prière des saints Simon et Jude, ton Eglise ne cesse de grandir en accueillant toujours de nouveaux croyants.
HYMNUS_vepres;;
LB_soir;;
RB_soir;;
magnificat;;
