HYMNUS_laudes;hy_Aurora lucis rutilat;;
ant1;Verba, quæ ego locútus sum vobis, spíritus et vita sunt, allelúia.;Les paroles que je vous ai dites sont  esprit et vie, alléluia.;Jn VI 63
ant2;Ædificásti templum et altáre in monte sancto tuo, Dómine, allelúia.;Tu as bâti un temple sur ta montagne sainte, Seigneur, alléluia.;Cf. Sg IX 8
ant3;Ego sum via et véritas et vita, allelúia.;Je suis le chemin, la vérité et la vie, alléluia.;Jn XIV 6
LB_matin;LB_Rom 14, 7-9;;
RB_matin;"R/. Surréxit Dóminus de sepúlcro,* Allelúia, allelúia. Surréxit. 
V/. Qui pro nobis pepéndit in ligno. *Allelúia, allelúia. Glória Patri. Surréxit.";"R/. Le Seigneur s'est relevé du tombeau,* Alléluia, alléluia. Le Seigneur.
V/. Lui qui pour nous a pendu sur le bois. *Alléluia, alléluia. Gloire au Père. Le Seigneur.";
benedictus;"Dixit Simon Petrus: Dómine, ad quem íbimus? Verba vitæ ætérnæ habes; et nos credídimus et cognóvimus quia tu es Christus Fílius Dei, allelúia.";Simon-Pierre dit: Seigneur, à qui irions-nous? tu avez les paroles de la vie éternelle. Et nous, nous avons cru et nous avons connu que tu es le Messie Fils de Dieu, alléluia.;Jn VI 68
preces_matin;preces_XIII;;
oratio_laudes;Deus, qui credéntes in te fonte baptísmatis innovásti, hanc renátis in Christo concéde custódiam, ut, omni erróris incúrsu devícto, grátiam tuæ benedictiónis fidéliter servent. Per Dóminum.;Ô Dieu qui as renouvelé ceux qui croient en toi par la fontaine du baptême, accorde ta protection à ceux qui sont renés dans le Christ, pour que, toute attaque de l’erreur étant vaincue, ils conservent fermement la grâce de ta bénédiction.;
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant5;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant6;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
LB_3;LB_Rom 5, 10-11;;
RB_3;"V/. Surréxit Dóminus vere, allelúia. 
R/. Et appáruit Simóni, allelúia.";"V/. Le Seigneur est vraiment ressuscité, alléluia.
R/. Et il est apparu à Simon, alléluia.";Luc XXIV 34
oratio_3;Deus, qui credéntes in te fonte baptísmatis innovásti, hanc renátis in Christo concéde custódiam, ut, omni erróris incúrsu devícto, grátiam tuæ benedictiónis fidéliter servent. Per Dóminum.;Ô Dieu qui as renouvelé ceux qui croient en toi par la fontaine du baptême, accorde ta protection à ceux qui sont renés dans le Christ, pour que, toute attaque de l’erreur étant vaincue, ils conservent fermement la grâce de ta bénédiction.;
LB_6;LB_1 Cor 15, 20-22;;
RB_6;"V/. Gavísi sunt discípuli, allelúia. 
R/. Viso Dómino, allelúia.";"V/. Les disciples furent remplis de joie, alléluia.
R/. En voyant le  Seigneur, alléluia.";Jean XX 20
oratio_6;Deus, qui credéntes in te fonte baptísmatis innovásti, hanc renátis in Christo concéde custódiam, ut, omni erróris incúrsu devícto, grátiam tuæ benedictiónis fidéliter servent. Per Dóminum.;Ô Dieu qui as renouvelé ceux qui croient en toi par la fontaine du baptême, accorde ta protection à ceux qui sont renés dans le Christ, pour que, toute attaque de l’erreur étant vaincue, ils conservent fermement la grâce de ta bénédiction.;
LB_9;LB_2 Cor 5, 14-15;;
RB_9;"V/. Mane nobíscum, Dómine, allelúia. 
R/. Quóniam advesperáscit, allelúia.";"V/. Reste avec nous, Seigneur, alléluia.
R/. Car le soir tombe, alléluia.";Luc XXIV 29
oratio_9;Deus, qui credéntes in te fonte baptísmatis innovásti, hanc renátis in Christo concéde custódiam, ut, omni erróris incúrsu devícto, grátiam tuæ benedictiónis fidéliter servent. Per Dóminum.;Ô Dieu qui as renouvelé ceux qui croient en toi par la fontaine du baptême, accorde ta protection à ceux qui sont renés dans le Christ, pour que, toute attaque de l’erreur étant vaincue, ils conservent fermement la grâce de ta bénédiction.;
HYMNUS_vesperas;hy_Ad cenam Agni próvidi;;
ant7;Pax Christi exsúltet in córdibus vestris, allelúia.;Que la paix du Christ règne dans vos cœurs, alléluia.;Cf. Col III 15
ant8;Redemísti nos Deo in sánguine tuo, allelúia.;Tu nous as racheté pour Dieu, par ton sang, alléluia.;Ap V 9
ant9;Nonne hæc opórtuit pati Christum, et ita intráre in glóriam suam? allelúia.;Ne fallait-il pas que le Christ souffrît cela pour entrer dans sa gloire ? alléluia.;Luc XXIV 26
LB_soir;LB_1 Petr 2, 9-10;;
RB_soir;"R/. Gavísi sunt discípuli, *Allelúia, allelúia. Gavísi. 
V/. Viso Dómino. * Allelúia, allelúia. Glória Patri. Gavísi.";"R/. Les disciples furent emplis de joie, *Alléluia, alléluia. Les disciples. 
V/. En voyant le Seigneur. * Alléluia, alléluia. Gloire au Père. Les disciples.";Jean XX 20
magnificat;<i>Antiphona propria.</i>;<i>Antienne propre</i>;
oratio_vesperas;<i>Oratio propria</i>;<i>Oraison propre</i>;
preces_soir;preces_I
