HYMNUS_laudes;hy_Aurora lucis rutilat;;
ant1;Sit splendor Dómini Dei nostri super nos, allelúia.;Que la faveur du Seigneur, notre Dieu, soit sur nous, alléluia.;Ps XC 17
ant2;Ponam ténebras coram eis in lucem, allelúia.;Je changerai devant eux les ténèbres en lumière, alléluia.;Is XLII 16
ant3;Omnia quæcúmque vóluit Dóminus fecit, allelúia.;Tout ce que veut le Seigneur, il le fait, alléluia.;Ps CXXXV 6
LB_matin;LB_Rom 10, 8b-10;;
RB_matin;"R/. Surréxit Dóminus de sepúlcro,* Allelúia, allelúia. Surréxit. 
V/. Qui pro nobis pepéndit in ligno. *Allelúia, allelúia. Glória Patri. Surréxit.";"R/. Le Seigneur s'est relevé du tombeau,* Alléluia, alléluia. Le Seigneur.
V/. Lui qui pour nous a pendu sur le bois. *Alléluia, alléluia. Gloire au Père. Le Seigneur.";
benedictus;Ego sum pastor bonus, qui pasco oves meas, et pro óvibus meis pono ánimam meam, allelúia.;Je suis le bon pasteur, qui fait paître ses brebiset qui donne sa vie pour ses brebis, alléluia.;Cf. Jn X 11
preces_matin;preces_IX;;
oratio_laudes;Deus, qui in Fílii tui humilitáte iacéntem mundum erexísti, fidélibus tuis sanctam concéde lætítiam, ut, quos eripuísti a servitúte peccáti, gáudiis fácias pérfrui sempitérnis. Per Dóminum.;Ô Dieu, qui par l’abaissement de ton Fils as relevé le monde abattu, accorde [ta] sainte joie à tes fidèles, afin de faire jouir des joies éternelles ceux que tu as arrachés à la servitude du péché.;
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant5;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant6;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
LB_3;LB_Ap 1, 17c-18;;
RB_3;"V/. Surréxit Dóminus vere, allelúia. 
R/. Et appáruit Simóni, allelúia.";"V/. Le Seigneur est vraiment ressuscité, alléluia.
R/. Et il est apparu à Simon, alléluia.";Luc XXIV 34
oratio_3;Deus, qui in Fílii tui humilitáte iacéntem mundum erexísti, fidélibus tuis sanctam concéde lætítiam, ut, quos eripuísti a servitúte peccáti, gáudiis fácias pérfrui sempitérnis. Per Dóminum.;Ô Dieu, qui par l’abaissement de ton Fils as relevé le monde abattu, accorde [ta] sainte joie à tes fidèles, afin de faire jouir des joies éternelles ceux que tu as arrachés à la servitude du péché.;
LB_6;LB_Col 2, 9. 10a. 12;;
RB_6;"V/. Gavísi sunt discípuli, allelúia. 
R/. Viso Dómino, allelúia.";"V/. Les disciples furent remplis de joie, allelúia. 
R/. En voyant le  Seigneur, allelúia.";Jean XX 20
oratio_6;Deus, qui in Fílii tui humilitáte iacéntem mundum erexísti, fidélibus tuis sanctam concéde lætítiam, ut, quos eripuísti a servitúte peccáti, gáudiis fácias pérfrui sempitérnis. Per Dóminum.;Ô Dieu, qui par l’abaissement de ton Fils as relevé le monde abattu, accorde [ta] sainte joie à tes fidèles, afin de faire jouir des joies éternelles ceux que tu as arrachés à la servitude du péché.;
LB_9;LB_2 Tim 2, 8. 11;;
RB_9;"V/. Mane nobíscum, Dómine, allelúia. 
R/. Quóniam advesperáscit, allelúia.";"V/. Reste avec nous, Seigneur, alléluia.
R/. Car le soir tombe, alléluia.";Luc XXIV 29
oratio_9;Deus, qui in Fílii tui humilitáte iacéntem mundum erexísti, fidélibus tuis sanctam concéde lætítiam, ut, quos eripuísti a servitúte peccáti, gáudiis fácias pérfrui sempitérnis. Per Dóminum.;Ô Dieu, qui par l’abaissement de ton Fils as relevé le monde abattu, accorde [ta] sainte joie à tes fidèles, afin de faire jouir des joies éternelles ceux que tu as arrachés à la servitude du péché.;
HYMNUS_vesperas;hy_Ad cenam Agni próvidi;;
ant7;Si quis in Christo, nova creatúra, allelúia.;Quiconque est en Jésus-Christ est une nouvelle créature, alléluia.;2Co V 17
ant8;Nos diligámus Deum, quóniam ipse prior diléxit nos, allelúia.;Nous donc, aimons Dieu, puisque Dieu nous a aimés le premier, alléluia.;1J IV 19
ant9;De plenitúdine eius omnes nos accépimus, et grátiam pro grátia, allelúia.;C'est de sa plénitude, que nous avons tous reçu, et grâce sur grâce, alléluia.;Jn I 16
LB_soir;LB_Hebr 8, 1b-3a;;
RB_soir;"R/. Gavísi sunt discípuli, *Allelúia, allelúia. Gavísi. 
V/. Viso Dómino. * Allelúia, allelúia. Glória Patri. Gavísi.";"R/. Les disciples furent emplis de joie, *Alléluia, alléluia. Les disciples. 
V/. En voyant le Seigneur. * Alléluia, alléluia. Gloire au Père. Les disciples.";Jean XX 20
magnificat;"Alias oves hábeo, quæ non sunt ex hoc ovíli; et illas opórtet me addúcere, et vocem meam áudient, et fiet unum ovíle et unus pastor, allelúia.";"J'ai encore d'autres brebis qui ne sont pas de cette bergerie; il faut aussi que je les amène, et elles  entendront ma voix et il y aura une seule bergerie et un seul pasteur, alléluia.";Jn X 16
oratio_vesperas;Deus, qui in Fílii tui humilitáte iacéntem mundum erexísti, fidélibus tuis sanctam concéde lætítiam, ut, quos eripuísti a servitúte peccáti, gáudiis fácias pérfrui sempitérnis. Per Dóminum.;Ô Dieu, qui par l’abaissement de ton Fils as relevé le monde abattu, accorde [ta] sainte joie à tes fidèles, afin de faire jouir des joies éternelles ceux que tu as arrachés à la servitude du péché.;
preces_soir;preces_X
